Watershed #,Watershed name,Area_km2,Pa_mm,Forest_type,Hydrological_regime,Farea_km2,Perc_Farea_pre,yearFarea,Comments,DeltaF_perc,DeltaQf_perc,Precip_data_type,Assessment_technique,Source of info,E0,Latitude,Longitude,Length of study (years),From,To,Location Details*,"Completed 1, Incomplete 0",Possible duplicate,Notes,Dryness
2,Araguaia River,82632,1730,MF,RD,81805.68,99,1970,total forest cover are from Souza-Filho et al 2015,-27,16.5,SG,HM,Coe et al. 2011,1597,-11.86,-50.72,20,1970,1990,AL,NA,1,Did not find forest variation reported value,0.923121387283237
3,Baker Creek,1570,542,CF,SD,502.4,87,1996,"Not in the paper, extracted from Forest Practices Board (FPB). 2007. The effect of mountain pine beetle attack and salvage harvesting on streamflows. Special Investigation Report 16, March 2007",-42.2,47.6,SG,SH,"Zhang and Wei, 2012",872,32,103,26,1999,2009,AL,1,NA,"Did not find reported values, original value of flow change is incorrect: Original paper says on page 2031: Annual mean flow has been increased by 47.6 % corrected 201.1 to 47.6. Forested are also corrected from -42.2 to -41.4, as in page 2022 "" cumulative logged area accounted for about 41.4% of the total watershed area""",1.6088560885608856
4,Be River catchment,7500,2400,BF,RD,3162,42.16,2005,NA,-16.3,0.4,SG,HM,"Nguyen Khoi and Suetsugi,2014",1742,11,106.01,19,1981,2000,AL,1,NA,"Calibration (1981�1990),Validation (1991�2000)",0.7258333333333333
5,Bowron  River,3500,920,CF,SD,NA,NA,NA,NA,-27,0,OB,SH,"Wei and Davidson,1998",870,53.68,-121.75,5,1950,1955,AL,1,NA,Data from plot 2,0.9456521739130435
6,Chaohe,4854,500,BF,RD,820.326,16.9,1969,NA,13.9,-21.9,OB,"EA, HM","Wang et al., 2013",1237,42,116,44,1963,2007,AL,1,NA,NA,2.474
7,Columbia River,567000,1200,CF,SD,300510,53,1990,NA,-21,6.5,SG,HM,"Matheussen et al., 2000",866,53.68,-121.78,10,1969,1979,AL,1,NA,NA,0.7216666666666667
8,Comet river,16440,660,BF,RD,13612.32,82.8,1960,NA,-44.8,40,SG,HM,"Siriwardena et al., 2006",1306,-37.35,145.15,30,1970,2000,AL,1,NA,NA,1.9787878787878788
9,CSHC,129654,440.7,BF,RD,109946.59199999999,84.8,1996,NA,30,-21.6,OB,EA,"Zhang et al. , 2008a",1481,37.5,110,41,1959,2000,AL,1,NA,Whole catchment studied in Zhang 2008a (repetitive?),3.3605627410937147
10,Delegate,1135.65,859,MF,RD,24.92,2.19,1960,NA,16,-12.2,SG,HM,"Tuteja et al. , 2007",1298,-37.01,146.39,40,1960,2000,AL,1,NA,NA,1.5110593713620488
11,Duqueco,1545,1687,BF,RD,735.42,47.6,1976,NA,15.9,-19.5,OB,SH,"Iroum� and Palacios,2013",1196,-38,-72,43,1962,2005,AL,1,NA,NA,0.7089508002371073
12,Galas,13100,2000,BF,RD,9467.37,72.27,1988,NA,-3,0,OB,SH,"Adnan and Atkinson, 2011",1464,0,102,12,1988,2000,AL,1,NA,NA,0.732
13,Gushan,1304,433.1,BF,RD,1304,100,1959,NA,19,-29,OB,EA,"Zhang et al. , 2008a",1414,38,112,41,1959,2000,AL,1,NA,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006656,3.26483491110598
14,Hanjiang,159000,871,MF,RD,69642,43.8,NA,yaer is not mentioned,17.4,-4.4,OB,HM,"Wang et al., 2012",1213,30.78,113.82,11,1997,2008,GE,1,NA,NA,1.3926521239954075
15,Huangfu,3211,393.6,BF,RD,NA,NA,NA,NA,20,-35.8,OB,EA,"Zhang et al. , 2008a",1482,39,111,41,1959,2000,NA,1,NA,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006657,3.7652439024390243
16,Japur� River,217367,2700,BF,RD,NA,NA,NA,NA,-12,0,SG,HM,"Coe et al., 2009",1234,-2.1,-67.13,1,2000,2000,GE,1,NA,in Amazon,0.457037037037037
17,Jialu,1279,407.4,BF,RD,NA,NA,NA,NA,23,-33.5,OB,EA,"Zhang et al. , 2008a",1481,37.5,110,43,1957,2000,AL,1,NA,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006657,3.6352479135984295
18,Juru� River,156376,2300,BF,RD,NA,NA,NA,NA,-1,0,SG,HM,"Lima et al, 2014",1204,-6.57,-69.43,49,1950,1999,AL,1,NA,NA,0.5234782608695652
19,Kejie watershed,1755,966,MF,RD,385.4,21.9,2006,NA,22.4,-3.7,OB,HM,"Ma et al., 2009",1433,25,99.33,32,1974,2006,AL,1,NA,NA,1.4834368530020703
20,Kelantan,13100,2000,BF,RD,7968.73,60.83,1988,NA,6,0,OB,SH,"Adnan and Atkinson, 2011",1533,5.01,102,31,1975,2006,PL,1,NA,NA,0.7665
21,Kuye,9289,399.9,BF,RD,NA,NA,NA,NA,20,-24,OB,EA,"Zhang et al. , 2008a",1444,40,110,43,1957,2000,AL,1,NA,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006658,3.6109027256814206
22,"L1, Canada",8940,811,CF,SD,7599,85,nd,"Page 3 ""Forests (including treed wetlands) cover from 79
(M2) to 89% (L2) of basin area""",-25.2,0,OB,QPW,"Buttle and Metcalfe, 2000",1156,48.31,74.57,2,1994,1996,PL,1,NA,Median location,1.4254007398273736
23,"L2, Canada",6760,807,CF,SD,6016.4,89,NA,"Forests (including treed wetlands) cover from 79
(M2) to 89% (L2) of basin area",-12.4,0,OB,QPW,"Buttle and Metcalfe, 2000",1469,48.71,64.45,1,1995,1996,PL,1,NA,Median location,1.8203221809169765
24,"L3, Canada",11900,802,CF,SD,10115,85,nd,"Page 3 ""Forests (including treed wetlands) cover from 79
(M2) to 89% (L2) of basin area""",-10.8,0,OB,QPW,"Buttle and Metcalfe, 2000",726,48.71,-75,1,1996,1996,PL,1,NA,Median location,0.9052369077306733
25,"L4, Canada",10000,813,CF,SD,8500,85,nd,NA,-8.6,0,OB,QPW,"Buttle and Metcalfe, 2000",1078,48.82,74.86,1,1996,1997,PL,1,NA,Median location,1.3259532595325954
