Watershed #,Watershed name,Area(km2),Pa(mm),Forest type,Hydrological regime,DeltaF_perc,DeltaQf_perc,Precipitation data type,Assessment technique,Source of info,E0,Latitude,Longitude,Length of study (years),From,To,Location Details*,"Completed 1, Incomplete 0",Possible duplicate,Notes
1,Amazon,3702481,2000,BF,RD,-7,2,OB,PWE,"Roche, 1981",1620,-14.92,-51.15,2,1976,1978,AL ,1,,"Aproximate loction defined by Roche's map in Amazon Region in French Guyana. Is is Amazon region? WV: This is not for the whole Amazon, but just for some small paired watershed studies in French Guyana, it is also unclear how they defined the change in forest and change in flow. Data should be removed from the analysis.
"
2,Araguaia River ,82632,1730,MF,RD,-27,16.5,SG,HM,"Coe et al., 2011",1597,-11.86,-50.72,20,1970,1990,AL,1,,Did not find forest variation reported value
3,Baker Creek,1570,542,CF,SD,-42.2,201.2,SG,SH,"Zhang and Wei, 2012",872,32.00,103.00,26,1970,1996,AL ,1,,Did not find reported values
4,Be River catchment,7500,2400,BF,RD,-16.3,0.4,SG,HM,"Nguyen Khoi and Suetsugi,2014",1742,11.00,106.01,19,1981,2000,AL,1,,"Calibration (1981–1990),Validation (1991–2000)"
5,Bowron  River,3500,920,CF,SD,-27,0,OB,SH,"Wei and Davidson,1998",870,53.68,-121.75,5,1950,1955,AL,1,,Data from plot 2
6,Chaohe,4854,500,BF,RD,13.9,-21.9,OB,"EA, HM","Wang et al., 2013",1237,42.00,116.00,44,1963,2007,AL,1,,
7,Columbia River ,567000,1200,CF,SD,-21,6.5,SG,HM,"Matheussen et al., 2000",866,53.68,-121.78,10,1969,1979,AL,1,,
8,Comet river,16440,660,BF,RD,-44.8,40,SG,HM,"Siriwardena et al., 2006",1306,-37.35,145.15,30,1970,2000,AL,1,,
9,CSHC,129654,440.7,BF,RD,30,-21.6,OB,EA,"Zhang et al. , 2008a",1481,37.50,110.00,41,1959,2000,AL,1,,Whole catchment studied in Zhang 2008a (repetitive?)
10,Delegate,1135.65,859,MF,RD,16,-12.2,SG,HM,"Tuteja et al. , 2007",1298,-37.01,146.39,40,1960,2000,AL,1,,
11,Duqueco,1545,1687,BF,RD,15.9,-19.5,OB,SH,"Iroumé and Palacios,2013",1196,-38.00,-72.00,43,1962,2005,AL,1,,
12,Galas,13100,2000,BF,RD,-3,0,OB,SH,"Adnan and Atkinson, 2011",1464,0.00,102.00,12,1988,2000,AL,1,,
13,Gushan ,1304,433.1,BF,RD,19,-29,OB,EA,"Zhang et al. , 2008a",1414,38.00,112.00,41,1959,2000,AL,1,,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006656
14,Hanjiang,159000,871,MF,RD,17.4,-4.4,OB,HM,"Wang et al., 2012",1213,30.78,113.82,11,1997,2008,GE,1,,
15,Huangfu ,3211,393.6,BF,RD,20,-35.8,OB,EA,"Zhang et al. , 2008a",1482,39.00,111.00,41,1959,2000,  ,1,,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006657
16,Japurá River,217367,2700,BF,RD,-12,0,SG,HM,"Coe et al., 2009",1234,-2.10,-67.13,1,2000,2000,GE,1,,in Amazon
17,Jialu ,1279,407.4,BF,RD,23,-33.5,OB,EA,"Zhang et al. , 2008a",1481,37.50,110.00,43,1957,2000,AL,1,,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006657
18,Juruá River,156376,2300,BF,RD,-1,0,SG,HM,"Lima et al, 2014",1204,-6.57,-69.43,49,1950,1999,AL,1,,
19,Kejie watershed,1755,966,MF,RD,22.4,-3.7,OB,HM,"Ma et al., 2009",1433,25.00,99.33,32,1974,2006,AL,1,,
20,Kelantan,13100,2000,BF,RD,6,0,OB,SH,"Adnan and Atkinson, 2011",1533,5.01,102.00,31,1975,2006,PL,1,,
21,Kuye ,9289,399.9,BF,RD,20,-24,OB,EA,"Zhang et al. , 2008a",1444,40.00,110.00,43,1957,2000,AL,1,,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006658
