Watershed #,Watershed name,Area(km2),Pa(mm),Forest type,Hydrological regime,DeltaF_perc,DeltaQf_perc,Precipitation data type,Assessment technique,Source of info,E0,Latitude,Longitude,Length of study (years),From,To,Location Details,"Completed 1, Incomplete 0",Possible duplicate,Notes
313,Adjungbilly Creek,391,1011,CF,RD,30.08,-60,OB,EA,Zhang et al. 2011,1939,-32.02,148.25,14,1995,2008,PL,1,,
314,Battaling Ck,16.64,629,CF,RD,19,-52,OB,EA,Zhang et al. 2011,1835,-33.32,116.57,9,2000,2008,PL,1,,
315,Bombala River,559,783,CF,RD,26.8,-29,OB,EA,Zhang et al. 2011,1180,-37,149.38,14,1990,2000,PL,1,,
316,Burnt Out Ck,0.6,806,CF,RD,67,-100,OB,EA,Zhang et al. 2011,1647,-35.13,138.7,5,2003,2007,PL,1,,
317,Crawford River,606,728,MF,RD,24.18,-66,OB,EA,Zhang et al. 2011,1340,-37.98,141.46,5,2004,2009,PL,1,,
318,Darlot Ck,760,688,MF,RD,13.3,-28,OB,EA,Zhang et al. 2011,1315,-38.15,141.77,5,2004,2009,PL,1,,
319,Delegate River,1135.7,859,CF,RD,14,-52,OB,EA,Zhang et al. 2011,1303,-36.98,149.05,11,1990,2000,PL,1,,
320,Eumeralla River,502,725,BF,RD,19.84,-57,OB,EA,Zhang et al. 2011,1296,-38.26,141.94,8,2001,2008,PL,1,,
321,Goobarragandra Ck,673,1009,CF,RD,8.32,-35,OB,EA,Zhang et al. 2011,1658,-35.19,148.2,19,1990,2008,PL,1,,
322,Jingellic Ck,390,838,CF,RD,27.5,-37,OB,EA,Zhang et al. 2011,1659,-35.53,147.41,10,1996,2005,PL,1,,
323,Pine Ck,3.2,629,CF,RD,88,-106,OB,EA,Zhang et al. 2011,1469,-37.29,145.05,12,1996,2005,PL,1,,
324,Red Hill,1.95,760,CF,RD,78,-66,OB,EA,Zhang et al. 2011,1447,-35.12,149.35,6,2001,2005,PL,1,1,"Repeat of Webb and Kathuria, 2012 # 248"
325,Traralgon Ck,89,959,BF,RD,58,-78,OB,EA,Zhang et al. 2011,1325,-38.32,146.53,7,1993,1999,PL,1,,
326,Upper Denmark River,243,742,BF,RD,15.17,-93,OB,EA,Zhang et al. 2011,1502,-34.7,117.22,5,2004,2008,PL,1,,
327,Yate Flat Ck,26.35,742,BF,RD,33.57,-91,OB,EA,Zhang et al. 2011,1833,-33.7,117.29,5,2004,2008,PL,1,,
328,Padbury reservoir catchment,1.964,880,MF,RD,60.9,-92,OB,EA,Borg et al. 1988,1749,-33.81,116,5,1978,1983,PL,1,1,
329,Pasak River (North Thailand),14500,1208,MF,RD,-50,0,OB,EA,Pena-Arancibia et al. 2012,1812,16.43,101.18,25,,,GM,0,,"Lat long for Petchaboon, data also via: http://www.bom.gov.au/water/about/waterResearch/document/10_Thailand-12.pdf  cited in Pena-Arancibia et al. 2012, original paper inaccessible"
330,Pearl River,179752,1770,MF,RD,37,0,OB,SH,Zhou et al. 2010,1343,22.88,113.5,50,1993,2006,GM,1,,"Area is for the whole Guangdong province, from Pena-Arancibia et al. 2012"
331,Lemon,3.44,702.6,MF,RD,-53,100,OB,EA,Zhao et al. 2010,1818,-33.3,116.41,24,1974,1997,PL,1,,data from table 6 Zhao et al. 2010 rather than original paper
332,GH2/Glendhu,3.1,1282.4,CF,RD,67,-78,OB,EA,Zhao et al. 2010,1066,-45.71,169.75,22,1980,2000,PL,1,,data from table 6 Zhao et al. 2010 rather than original paper
333,Burdekin,17299,690,BF,RD,-25,1,OB,SH,Pena-Arancibia et al. 2012,2216,-19,145,80,1979,2007,GM,1,,
334,Comet,16440,650,BF,RD,-45,1,OB,SH,Pena-Arancibia et al. 2012,2166,-24.5,148.5,80,1979,2007,GM,1,1,follow-up study on watershed #8 with different results
