Date,Value,Comment
1968-04-01T00:00:00.000+02:00,288,Historical data not yet verfied
1968-03-01T00:00:00.000+02:00,0.2,Historical data not yet verfied
1968-02-01T00:00:00.000+02:00,41,Historical data not yet verfied
1968-01-01T00:00:00.000+02:00,165,Historical data not yet verfied
1967-12-01T00:00:00.000+02:00,15.5,Historical data not yet verfied
1967-11-01T00:00:00.000+02:00,94,Historical data not yet verfied
1967-10-01T00:00:00.000+02:00,185,Historical data not yet verfied
1967-09-01T00:00:00.000+02:00,111,Historical data not yet verfied
1967-08-01T00:00:00.000+02:00,110,Historical data not yet verfied
1967-07-01T00:00:00.000+02:00,144.5,Historical data not yet verfied
1967-06-01T00:00:00.000+02:00,348,Historical data not yet verfied
1967-05-01T00:00:00.000+02:00,163,Historical data not yet verfied
1967-04-01T00:00:00.000+02:00,218,Historical data not yet verfied
1967-03-01T00:00:00.000+02:00,15,Historical data not yet verfied
1967-02-01T00:00:00.000+02:00,0.9,Historical data not yet verfied
1967-01-01T00:00:00.000+02:00,60,Historical data not yet verfied
1966-12-01T00:00:00.000+02:00,35.5,Historical data not yet verfied
1966-11-01T00:00:00.000+02:00,50,Historical data not yet verfied
1966-10-01T00:00:00.000+02:00,7.5,Historical data not yet verfied
1966-09-01T00:00:00.000+02:00,89.5,Historical data not yet verfied
1966-08-01T00:00:00.000+02:00,209,Historical data not yet verfied
1966-07-01T00:00:00.000+02:00,232,Historical data not yet verfied
1966-06-01T00:00:00.000+02:00,229,Historical data not yet verfied
1966-05-01T00:00:00.000+02:00,194.5,Historical data not yet verfied
1966-04-01T00:00:00.000+02:00,95,Historical data not yet verfied
1966-03-01T00:00:00.000+02:00,192.5,Historical data not yet verfied
1966-02-01T00:00:00.000+02:00,40,Historical data not yet verfied
1966-01-01T00:00:00.000+02:00,4.5,Historical data not yet verfied
1965-12-01T00:00:00.000+02:00,93.5,Historical data not yet verfied
1965-11-01T00:00:00.000+02:00,23.5,Historical data not yet verfied
1965-10-01T00:00:00.000+02:00,37,Historical data not yet verfied
1965-09-01T00:00:00.000+02:00,97,Historical data not yet verfied
1965-08-01T00:00:00.000+02:00,206,Historical data not yet verfied
1965-07-01T00:00:00.000+02:00,126.5,Historical data not yet verfied
1965-06-01T00:00:00.000+02:00,95.5,Historical data not yet verfied
1965-05-01T00:00:00.000+02:00,218,Historical data not yet verfied
1965-04-01T00:00:00.000+02:00,140,Historical data not yet verfied
1965-03-01T00:00:00.000+02:00,161.5,Historical data not yet verfied
1965-02-01T00:00:00.000+02:00,115.5,Historical data not yet verfied
1965-01-01T00:00:00.000+02:00,54.5,Historical data not yet verfied
1964-12-01T00:00:00.000+02:00,19,Historical data not yet verfied
1964-11-01T00:00:00.000+02:00,102,Historical data not yet verfied
1964-10-01T00:00:00.000+02:00,104.5,Historical data not yet verfied
1964-09-01T00:00:00.000+02:00,44.5,Historical data not yet verfied
1964-08-01T00:00:00.000+02:00,196,Historical data not yet verfied
1964-07-01T00:00:00.000+02:00,200.5,Historical data not yet verfied
1964-06-01T00:00:00.000+02:00,226,Historical data not yet verfied
1964-05-01T00:00:00.000+02:00,144,Historical data not yet verfied
1964-04-01T00:00:00.000+02:00,60,Historical data not yet verfied
1964-03-01T00:00:00.000+02:00,2,Historical data not yet verfied
1964-02-01T00:00:00.000+02:00,121.5,Historical data not yet verfied
1964-01-01T00:00:00.000+02:00,9.5,Historical data not yet verfied
1963-12-01T00:00:00.000+02:00,84,Historical data not yet verfied
1963-11-01T00:00:00.000+02:00,98,Historical data not yet verfied
1963-10-01T00:00:00.000+02:00,17.5,Historical data not yet verfied
1963-09-01T00:00:00.000+02:00,115.5,Historical data not yet verfied
1963-08-01T00:00:00.000+02:00,320,Historical data not yet verfied
1963-07-01T00:00:00.000+02:00,331,Historical data not yet verfied
1963-06-01T00:00:00.000+02:00,128.5,Historical data not yet verfied
1963-05-01T00:00:00.000+02:00,78,Historical data not yet verfied
1963-04-01T00:00:00.000+02:00,29,Historical data not yet verfied
1963-03-01T00:00:00.000+02:00,12,Historical data not yet verfied
1963-02-01T00:00:00.000+02:00,6.5,Historical data not yet verfied
1963-01-01T00:00:00.000+02:00,41,Historical data not yet verfied
1962-12-01T00:00:00.000+02:00,9.5,Historical data not yet verfied
1962-11-01T00:00:00.000+02:00,60,Historical data not yet verfied
1962-10-01T00:00:00.000+02:00,86,Historical data not yet verfied
1962-09-01T00:00:00.000+02:00,145.5,Historical data not yet verfied
1962-08-01T00:00:00.000+02:00,351.5,Historical data not yet verfied
1962-07-01T00:00:00.000+02:00,162,Historical data not yet verfied
1962-06-01T00:00:00.000+02:00,603,Historical data not yet verfied
1962-05-01T00:00:00.000+02:00,73.5,Historical data not yet verfied
1962-04-01T00:00:00.000+02:00,128,Historical data not yet verfied
1962-03-01T00:00:00.000+02:00,149,Historical data not yet verfied
1962-02-01T00:00:00.000+02:00,71,Historical data not yet verfied
1962-01-01T00:00:00.000+02:00,19,Historical data not yet verfied
1961-12-01T00:00:00.000+02:00,31.5,Historical data not yet verfied
1961-11-01T00:00:00.000+02:00,0.1,Historical data not yet verfied
1961-10-01T00:00:00.000+02:00,52,Historical data not yet verfied
1961-09-01T00:00:00.000+02:00,54,Historical data not yet verfied
