Date,Value,Comment
1971-05-12T00:00:00.000+02:00,0,Historical data not yet verfied
1971-05-05T00:00:00.000+02:00,3.8,Historical data not yet verfied
1971-04-28T00:00:00.000+02:00,20.6,Historical data not yet verfied
1971-04-21T00:00:00.000+02:00,0,Historical data not yet verfied
1971-04-14T00:00:00.000+02:00,3.1,Historical data not yet verfied
1971-04-07T00:00:00.000+02:00,1.8,Historical data not yet verfied
1971-03-31T00:00:00.000+02:00,25.2,Historical data not yet verfied
1971-03-24T00:00:00.000+02:00,11.8,Historical data not yet verfied
1971-03-17T00:00:00.000+02:00,0,Historical data not yet verfied
1971-03-10T00:00:00.000+02:00,0,Historical data not yet verfied
1971-03-03T00:00:00.000+02:00,0.2,Historical data not yet verfied
1971-02-24T00:00:00.000+02:00,0,Historical data not yet verfied
1971-02-17T00:00:00.000+02:00,0,Historical data not yet verfied
1971-02-10T00:00:00.000+02:00,0,Historical data not yet verfied
1971-02-03T00:00:00.000+02:00,6.8,Historical data not yet verfied
1971-01-27T00:00:00.000+02:00,0.2,Historical data not yet verfied
1971-01-20T00:00:00.000+02:00,25.1,Historical data not yet verfied
1971-01-13T00:00:00.000+02:00,0.4,Historical data not yet verfied
1971-01-06T00:00:00.000+02:00,10.6,Historical data not yet verfied
1970-12-30T00:00:00.000+02:00,0.3,Historical data not yet verfied
1970-12-23T00:00:00.000+02:00,0.6,Historical data not yet verfied
1970-12-16T00:00:00.000+02:00,35.1,Historical data not yet verfied
1970-12-09T00:00:00.000+02:00,25.4,Historical data not yet verfied
1970-12-02T00:00:00.000+02:00,2.6,Historical data not yet verfied
1970-11-25T00:00:00.000+02:00,30.2,Historical data not yet verfied
1970-11-18T00:00:00.000+02:00,7.6,Historical data not yet verfied
1970-11-11T00:00:00.000+02:00,4.4,Historical data not yet verfied
1970-11-04T00:00:00.000+02:00,0.3,Historical data not yet verfied
1970-10-28T00:00:00.000+02:00,2.9,Historical data not yet verfied
1970-10-21T00:00:00.000+02:00,3.4,Historical data not yet verfied
1970-10-14T00:00:00.000+02:00,1.4,Historical data not yet verfied
1970-10-07T00:00:00.000+02:00,54,Historical data not yet verfied
1970-09-30T00:00:00.000+02:00,30.2,Historical data not yet verfied
1970-09-23T00:00:00.000+02:00,0.6,Historical data not yet verfied
1970-09-16T00:00:00.000+02:00,18.7,Historical data not yet verfied
1970-09-09T00:00:00.000+02:00,65.7,Historical data not yet verfied
1970-09-02T00:00:00.000+02:00,32.4,Historical data not yet verfied
1970-08-26T00:00:00.000+02:00,107,Historical data not yet verfied
1970-08-19T00:00:00.000+02:00,15.6,Historical data not yet verfied
1970-08-12T00:00:00.000+02:00,52.1,Historical data not yet verfied
1970-08-05T00:00:00.000+02:00,52,Historical data not yet verfied
1970-07-29T00:00:00.000+02:00,54.3,Historical data not yet verfied
1970-07-22T00:00:00.000+02:00,90.6,Historical data not yet verfied
1970-07-15T00:00:00.000+02:00,18.6,Historical data not yet verfied
1970-07-08T00:00:00.000+02:00,18.2,Historical data not yet verfied
1970-07-01T00:00:00.000+02:00,79.6,Historical data not yet verfied
1970-06-24T00:00:00.000+02:00,63.4,Historical data not yet verfied
1970-06-17T00:00:00.000+02:00,64.8,Historical data not yet verfied
1970-06-10T00:00:00.000+02:00,58.6,Historical data not yet verfied
1970-06-03T00:00:00.000+02:00,71.8,Historical data not yet verfied
1970-05-27T00:00:00.000+02:00,72.8,Historical data not yet verfied
1970-05-20T00:00:00.000+02:00,14.6,Historical data not yet verfied
1970-05-13T00:00:00.000+02:00,151.8,Historical data not yet verfied
1970-05-06T00:00:00.000+02:00,9.7,Historical data not yet verfied
1970-04-29T00:00:00.000+02:00,0,Historical data not yet verfied
1970-04-22T00:00:00.000+02:00,1.2,Historical data not yet verfied
1970-04-15T00:00:00.000+02:00,7,Historical data not yet verfied
1970-04-08T00:00:00.000+02:00,9.2,Historical data not yet verfied
1970-04-01T00:00:00.000+02:00,0,Historical data not yet verfied
1970-03-25T00:00:00.000+02:00,0,Historical data not yet verfied
1970-03-18T00:00:00.000+02:00,0.4,Historical data not yet verfied
1970-03-11T00:00:00.000+02:00,7.2,Historical data not yet verfied
1970-03-04T00:00:00.000+02:00,0,Historical data not yet verfied
1970-02-25T00:00:00.000+02:00,21,Historical data not yet verfied
1970-02-18T00:00:00.000+02:00,0,Historical data not yet verfied
1970-02-11T00:00:00.000+02:00,1,Historical data not yet verfied
1970-02-04T00:00:00.000+02:00,2.2,Historical data not yet verfied
1970-01-28T00:00:00.000+02:00,0,Historical data not yet verfied
1970-01-21T00:00:00.000+02:00,0,Historical data not yet verfied
1970-01-14T00:00:00.000+02:00,7.4,Historical data not yet verfied
1970-01-07T00:00:00.000+02:00,16.4,Historical data not yet verfied
1969-12-31T00:00:00.000+02:00,0,Historical data not yet verfied
1969-12-24T00:00:00.000+02:00,3.8,Historical data not yet verfied
1969-12-17T00:00:00.000+02:00,1.2,Historical data not yet verfied
1969-12-10T00:00:00.000+02:00,7.4,Historical data not yet verfied
1969-12-03T00:00:00.000+02:00,4.6,Historical data not yet verfied
1969-11-26T00:00:00.000+02:00,8,Historical data not yet verfied
1969-11-19T00:00:00.000+02:00,0.1,Historical data not yet verfied
1969-11-12T00:00:00.000+02:00,9.7,Historical data not yet verfied
1969-11-05T00:00:00.000+02:00,0.2,Historical data not yet verfied
1969-10-29T00:00:00.000+02:00,19.4,Historical data not yet verfied
1969-10-22T00:00:00.000+02:00,56.8,Historical data not yet verfied
1969-10-15T00:00:00.000+02:00,29.8,Historical data not yet verfied
