Date,Value,Comment
2008-02-27T00:00:00.000+02:00,22.3076,
2008-02-20T00:00:00.000+02:00,8.6352,
2008-02-13T00:00:00.000+02:00,45.232,
2008-02-06T00:00:00.000+02:00,2.8784,
2008-01-30T00:00:00.000+02:00,0,
2008-01-23T00:00:00.000+02:00,0,
2008-01-16T00:00:00.000+02:00,18.504,
2008-01-09T00:00:00.000+02:00,56.8484,
2008-01-02T00:00:00.000+02:00,0,
2007-12-26T00:00:00.000+02:00,7.196,
2007-12-19T00:00:00.000+02:00,25.3916,
2007-12-12T00:00:00.000+02:00,0,
2007-12-05T00:00:00.000+02:00,8.738,
2007-11-28T00:00:00.000+02:00,129.528,
2007-11-21T00:00:00.000+02:00,12.0276,
2007-11-14T00:00:00.000+02:00,28.27,
2007-11-07T00:00:00.000+02:00,42.8676,
2007-10-31T00:00:00.000+02:00,0,
2007-10-24T00:00:00.000+02:00,112.7716,
2007-10-17T00:00:00.000+02:00,2.1588,
2007-10-10T00:00:00.000+02:00,54.998,
2007-10-03T00:00:00.000+02:00,14.7004,
2007-09-26T00:00:00.000+02:00,5.4484,
2007-09-19T00:00:00.000+02:00,6.8876,
2007-09-12T00:00:00.000+02:00,33.2044,
2007-09-05T00:00:00.000+02:00,52.3252,
2007-08-29T00:00:00.000+02:00,49.6524,
2007-08-22T00:00:00.000+02:00,13.364,
2007-08-15T00:00:00.000+02:00,96.3236,
2007-08-08T00:00:00.000+02:00,89.436,
2007-08-01T00:00:00.000+02:00,190.8996,
2007-07-25T00:00:00.000+02:00,56.8484,
2007-07-18T00:00:00.000+02:00,25.3916,
2007-07-11T00:00:00.000+02:00,19.4292,
2007-07-04T00:00:00.000+02:00,24.3636,
2007-06-27T00:00:00.000+02:00,71.6516,
2007-06-20T00:00:00.000+02:00,38.7556,
2007-06-13T00:00:00.000+02:00,126.3412,
2007-06-06T00:00:00.000+02:00,84.0904,
2007-05-30T00:00:00.000+02:00,0.9252,
2007-05-23T00:00:00.000+02:00,181.1336,
2007-05-16T00:00:00.000+02:00,75.9692,
2007-05-09T00:00:00.000+02:00,0,
2007-05-02T00:00:00.000+02:00,120.276,
2007-04-25T00:00:00.000+02:00,0.9252,
2007-04-18T00:00:00.000+02:00,9.8688,
2007-04-11T00:00:00.000+02:00,22.102,
2007-04-04T00:00:00.000+02:00,0,
2007-03-28T00:00:00.000+02:00,16.1396,
2007-03-21T00:00:00.000+02:00,0,
2007-03-14T00:00:00.000+02:00,0,
2007-03-07T00:00:00.000+02:00,53.1476,
2007-02-28T00:00:00.000+02:00,0,
2007-02-21T00:00:00.000+02:00,5.0372,
2007-02-14T00:00:00.000+02:00,65.0724,
2007-02-07T00:00:00.000+02:00,0,
2007-01-31T00:00:00.000+02:00,0,
2007-01-24T00:00:00.000+02:00,4.0092,
2007-01-17T00:00:00.000+02:00,0.7196,
2007-01-10T00:00:00.000+02:00,0,
2007-01-03T00:00:00.000+02:00,24.5692,
2006-12-27T00:00:00.000+02:00,0,
2006-12-20T00:00:00.000+02:00,0,
2006-12-13T00:00:00.000+02:00,11.7192,
2006-12-06T00:00:00.000+02:00,33.41,
2006-11-29T00:00:00.000+02:00,7.5044,
2006-11-22T00:00:00.000+02:00,10.1772,
2006-11-15T00:00:00.000+02:00,9.5604,re?n gedurende ronde
2006-11-08T00:00:00.000+02:00,73.9132,
2006-11-01T00:00:00.000+02:00,17.8872,
2006-10-25T00:00:00.000+02:00,8.6352,
2006-10-18T00:00:00.000+02:00,0.9252,Black S/ooste re?n
2006-10-11T00:00:00.000+02:00,32.1764,
2006-10-04T00:00:00.000+02:00,17.3732,
2006-09-27T00:00:00.000+02:00,32.382,
2006-09-20T00:00:00.000+02:00,39.3724,
2006-09-13T00:00:00.000+02:00,1.7476,
2006-09-06T00:00:00.000+02:00,0,
2006-08-30T00:00:00.000+02:00,52.1196,Baie stof re?n uit die s/ooste
2006-08-23T00:00:00.000+02:00,25.8028,
2006-08-16T00:00:00.000+02:00,96.632,
2006-08-09T00:00:00.000+02:00,73.502,
2006-08-02T00:00:00.000+02:00,41.0172,Eers die volgende dag gemeet
2006-07-26T00:00:00.000+02:00,103.9308,
2006-07-19T00:00:00.000+02:00,51.2972,
2006-07-12T00:00:00.000+02:00,62.6052,stof/mis re?n gedurende ronde
2006-07-05T00:00:00.000+02:00,5.0372,
2006-06-28T00:00:00.000+02:00,35.98,
2006-06-21T00:00:00.000+02:00,10.5884,re?n gedurende ronde
2006-06-14T00:00:00.000+02:00,155.5364,re?n gedurende ronde
2006-06-07T00:00:00.000+02:00,25.5972,
2006-05-31T00:00:00.000+02:00,52.942,
2006-05-24T00:00:00.000+02:00,129.8364,
2006-05-17T00:00:00.000+02:00,36.9052,re?n gedurende ronde
2006-05-10T00:00:00.000+02:00,53.8672,
2006-05-03T00:00:00.000+02:00,23.13,
2006-04-26T00:00:00.000+02:00,98.688,
2006-04-19T00:00:00.000+02:00,1.028,
2006-04-12T00:00:00.000+02:00,12.6444,
2006-04-05T00:00:00.000+02:00,3.7008,
2006-03-29T00:00:00.000+02:00,0.7196,
2006-03-22T00:00:00.000+02:00,0,
2006-03-15T00:00:00.000+02:00,16.3452,
2006-03-08T00:00:00.000+02:00,7.9156,
2006-03-01T00:00:00.000+02:00,24.9804,
2006-02-22T00:00:00.000+02:00,7.0932,
2006-02-15T00:00:00.000+02:00,0,
2006-02-08T00:00:00.000+02:00,0,
2006-02-01T00:00:00.000+02:00,0,
2006-01-25T00:00:00.000+02:00,3.598,
2006-01-18T00:00:00.000+02:00,0.3084,
2006-01-11T00:00:00.000+02:00,0,
2006-01-04T00:00:00.000+02:00,0,
2005-12-28T00:00:00.000+02:00,0,
2005-12-21T00:00:00.000+02:00,12.336,
2005-12-14T00:00:00.000+02:00,0,
2005-12-07T00:00:00.000+02:00,2.4672,
2005-11-30T00:00:00.000+02:00,3.3924,
2005-11-23T00:00:00.000+02:00,0,
2005-11-16T00:00:00.000+02:00,25.5972,
2005-11-09T00:00:00.000+02:00,6.168,
2005-11-02T00:00:00.000+02:00,17.99,
2005-10-26T00:00:00.000+02:00,22.616,
2005-10-19T00:00:00.000+02:00,17.8872,
2005-10-12T00:00:00.000+02:00,17.5788,
2005-10-05T00:00:00.000+02:00,14.5976,
2005-09-28T00:00:00.000+02:00,50.6804,
2005-09-21T00:00:00.000+02:00,4.0092,
2005-09-14T00:00:00.000+02:00,0,
2005-09-07T00:00:00.000+02:00,25.3916,
2005-08-31T00:00:00.000+02:00,58.596,
2005-08-24T00:00:00.000+02:00,113.3884,
2005-08-17T00:00:00.000+02:00,64.1472,
2005-08-10T00:00:00.000+02:00,71.8572,
2005-08-03T00:00:00.000+02:00,19.6348,
2005-07-27T00:00:00.000+02:00,36.1856,
2005-07-20T00:00:00.000+02:00,132.9204,
2005-07-13T00:00:00.000+02:00,0,
2005-07-06T00:00:00.000+02:00,1.7476,
2005-06-29T00:00:00.000+02:00,30.84,
2005-06-22T00:00:00.000+02:00,29.298,
2005-06-15T00:00:00.000+02:00,106.912,
2005-06-08T00:00:00.000+02:00,134.668,
2005-06-01T00:00:00.000+02:00,130.2476,
2005-05-25T00:00:00.000+02:00,21.8964,
2005-05-18T00:00:00.000+02:00,87.5856,
2005-05-11T00:00:00.000+02:00,38.9612,
2005-05-04T00:00:00.000+02:00,10.5884,
2005-04-27T00:00:00.000+02:00,12.6444,
2005-04-20T00:00:00.000+02:00,45.1292,
2005-04-13T00:00:00.000+02:00,64.4556,
2005-04-06T00:00:00.000+02:00,2.3644,
2005-03-30T00:00:00.000+02:00,6.0652,
2005-03-23T00:00:00.000+02:00,1.8504,
2005-03-16T00:00:00.000+02:00,11.822,
2005-03-09T00:00:00.000+02:00,4.5232,
2005-03-02T00:00:00.000+02:00,0,
2005-02-23T00:00:00.000+02:00,0,
2005-02-16T00:00:00.000+02:00,0,
2005-02-09T00:00:00.000+02:00,4.112,
2005-02-02T00:00:00.000+02:00,84.1932,
2005-01-26T00:00:00.000+02:00,7.196,
2005-01-19T00:00:00.000+02:00,0,
2005-01-12T00:00:00.000+02:00,4.5232,
2005-01-05T00:00:00.000+02:00,12.6444,
2004-12-29T00:00:00.000+02:00,1.542,
2004-12-22T00:00:00.000+02:00,16.7564,
2004-12-15T00:00:00.000+02:00,0,
2004-12-08T00:00:00.000+02:00,6.5792,
2004-12-01T00:00:00.000+02:00,11.7192,
2004-11-24T00:00:00.000+02:00,12.0276,
2004-11-17T00:00:00.000+02:00,0,
2004-11-10T00:00:00.000+02:00,0,
2004-11-03T00:00:00.000+02:00,15.1116,
2004-10-27T00:00:00.000+02:00,64.9696,
2004-10-20T00:00:00.000+02:00,11.2052,
2004-10-13T00:00:00.000+02:00,100.4356,
2004-10-06T00:00:00.000+02:00,0,
2004-09-29T00:00:00.000+02:00,10.4856,
2004-09-22T00:00:00.000+02:00,69.39,
2004-09-15T00:00:00.000+02:00,0,
2004-09-08T00:00:00.000+02:00,11.4108,
2004-09-01T00:00:00.000+02:00,2.57,
2004-08-25T00:00:00.000+02:00,0,
2004-08-18T00:00:00.000+02:00,71.6516,
2004-08-11T00:00:00.000+02:00,180.6196,
2004-08-04T00:00:00.000+02:00,92.52,
2004-07-28T00:00:00.000+02:00,85.838,
2004-07-21T00:00:00.000+02:00,0,
2004-07-14T00:00:00.000+02:00,0,
2004-07-07T00:00:00.000+02:00,27.242,
2004-06-30T00:00:00.000+02:00,25.7,
2004-06-23T00:00:00.000+02:00,30.7372,
2004-06-16T00:00:00.000+02:00,83.9876,
2004-06-09T00:00:00.000+02:00,55.8204,
2004-06-02T00:00:00.000+02:00,4.626,
2004-05-26T00:00:00.000+02:00,0,
2004-05-19T00:00:00.000+02:00,2.056,
2004-05-12T00:00:00.000+02:00,11.822,
2004-05-05T00:00:00.000+02:00,2.1588,
2004-04-28T00:00:00.000+02:00,3.598,
2004-04-21T00:00:00.000+02:00,146.2844,
2004-04-14T00:00:00.000+02:00,40.606,
2004-04-07T00:00:00.000+02:00,34.952,
2004-03-31T00:00:00.000+02:00,0.8224,
2004-03-24T00:00:00.000+02:00,0,
2004-03-17T00:00:00.000+02:00,0,
2004-03-10T00:00:00.000+02:00,8.9436,
2004-03-03T00:00:00.000+02:00,25.186,
2004-02-25T00:00:00.000+02:00,0,
2004-02-18T00:00:00.000+02:00,0,
2004-02-11T00:00:00.000+02:00,0,
2004-02-04T00:00:00.000+02:00,0,
2004-01-28T00:00:00.000+02:00,2.7756,
2004-01-21T00:00:00.000+02:00,45.232,
2004-01-14T00:00:00.000+02:00,1.2336,
2004-01-07T00:00:00.000+02:00,14.5976,
2003-12-31T00:00:00.000+02:00,42.662,
2003-12-24T00:00:00.000+02:00,0,
2003-12-17T00:00:00.000+02:00,46.5684,
2003-12-10T00:00:00.000+02:00,6.2708,
2003-12-03T00:00:00.000+02:00,1.7476,
2003-11-26T00:00:00.000+02:00,0,
2003-11-19T00:00:00.000+02:00,0.3084,
2003-11-12T00:00:00.000+02:00,0,
2003-11-05T00:00:00.000+02:00,0,
2003-10-29T00:00:00.000+02:00,29.812,
2003-10-22T00:00:00.000+02:00,68.5676,
2003-10-15T00:00:00.000+02:00,39.578,
2003-10-08T00:00:00.000+02:00,5.14,
2003-10-01T00:00:00.000+02:00,38.7556,
2003-09-24T00:00:00.000+02:00,53.3532,
2003-09-17T00:00:00.000+02:00,0,
2003-09-10T00:00:00.000+02:00,22.3076,
2003-09-03T00:00:00.000+02:00,65.792,
2003-08-27T00:00:00.000+02:00,120.276,
2003-08-20T00:00:00.000+02:00,139.4996,
2003-08-13T00:00:00.000+02:00,107.94,
2003-08-06T00:00:00.000+02:00,39.064,
2003-07-30T00:00:00.000+02:00,49.6524,
2003-07-23T00:00:00.000+02:00,43.8956,
2003-07-16T00:00:00.000+02:00,26.4196,
2003-07-09T00:00:00.000+02:00,0,
2003-07-02T00:00:00.000+02:00,3.8036,
2003-06-25T00:00:00.000+02:00,13.0556,
2003-06-18T00:00:00.000+02:00,18.8124,
2003-06-11T00:00:00.000+02:00,18.1956,
2003-06-04T00:00:00.000+02:00,44.9236,
2003-05-28T00:00:00.000+02:00,59.3156,
2003-05-21T00:00:00.000+02:00,0,
2003-05-14T00:00:00.000+02:00,32.382,
2003-05-07T00:00:00.000+02:00,28.8868,
2003-04-30T00:00:00.000+02:00,0.7196,
2003-04-23T00:00:00.000+02:00,22.5132,
2003-04-16T00:00:00.000+02:00,42.4564,
2003-04-09T00:00:00.000+02:00,6.4764,
2003-04-02T00:00:00.000+02:00,0.7196,
2003-03-26T00:00:00.000+02:00,155.9476,
2003-03-19T00:00:00.000+02:00,40.092,
2003-03-12T00:00:00.000+02:00,0,
2003-03-05T00:00:00.000+02:00,0,
2003-02-26T00:00:00.000+02:00,0,
2003-02-19T00:00:00.000+02:00,15.42,
2003-02-12T00:00:00.000+02:00,2.1588,
2003-02-05T00:00:00.000+02:00,0,
2003-01-29T00:00:00.000+02:00,0,
2003-01-22T00:00:00.000+02:00,25.5972,
2003-01-15T00:00:00.000+02:00,0,
2003-01-08T00:00:00.000+02:00,0,
2003-01-01T00:00:00.000+02:00,0,
2002-12-25T00:00:00.000+02:00,22.5132,
2002-12-18T00:00:00.000+02:00,27.6532,
2002-12-11T00:00:00.000+02:00,0,
2002-12-04T00:00:00.000+02:00,0.7196,Emmer weg by 8B
2002-11-27T00:00:00.000+02:00,0.7196,
2002-11-20T00:00:00.000+02:00,13.6724,
2002-11-13T00:00:00.000+02:00,1.542,
2002-11-06T00:00:00.000+02:00,42.4564,
2002-10-30T00:00:00.000+02:00,3.084,
2002-10-23T00:00:00.000+02:00,28.784,
2002-10-16T00:00:00.000+02:00,3.598,
2002-10-09T00:00:00.000+02:00,58.596,
2002-10-02T00:00:00.000+02:00,60.7548,
2002-09-27T00:00:00.000+02:00,20.4572,
2002-09-18T00:00:00.000+02:00,4.0092,
2002-09-11T00:00:00.000+02:00,46.3628,
2002-09-04T00:00:00.000+02:00,83.782,
2002-08-28T00:00:00.000+02:00,17.99,
2002-08-21T00:00:00.000+02:00,0,
2002-08-14T00:00:00.000+02:00,56.54,
2002-08-07T00:00:00.000+02:00,62.3996,
2002-07-31T00:00:00.000+02:00,116.8836,
2002-07-24T00:00:00.000+02:00,45.9516,
2002-07-17T00:00:00.000+02:00,45.9516,
2002-07-10T00:00:00.000+02:00,68.7732,
2002-07-03T00:00:00.000+02:00,89.436,
2002-06-26T00:00:00.000+02:00,83.1652,
2002-06-19T00:00:00.000+02:00,48.6244,
2002-06-12T00:00:00.000+02:00,66.306,
2002-06-05T00:00:00.000+02:00,52.428,
2002-05-29T00:00:00.000+02:00,142.7892,
2002-05-22T00:00:00.000+02:00,13.4668,
2002-05-15T00:00:00.000+02:00,5.4484,
2002-05-08T00:00:00.000+02:00,67.334,
2002-05-01T00:00:00.000+02:00,49.2412,
2002-04-24T00:00:00.000+02:00,33.41,
2002-04-17T00:00:00.000+02:00,0,
2002-04-10T00:00:00.000+02:00,54.998,
2002-04-03T00:00:00.000+02:00,23.3356,
2002-03-27T00:00:00.000+02:00,13.5696,
2002-03-20T00:00:00.000+02:00,2.7756,
2002-03-13T00:00:00.000+02:00,0,
2002-03-06T00:00:00.000+02:00,6.0652,
2002-02-27T00:00:00.000+02:00,6.682,
2002-02-20T00:00:00.000+02:00,8.3268,
2002-02-13T00:00:00.000+02:00,0.514,
2002-02-06T00:00:00.000+02:00,13.0556,
2002-01-30T00:00:00.000+02:00,3.4952,
2002-01-23T00:00:00.000+02:00,156.256,
2002-01-16T00:00:00.000+02:00,74.016,
2002-01-09T00:00:00.000+02:00,30.1204,
