Date,Value,Comment,Comment
2008-02-01T00:00:00.000+02:00,79,Historical data not yet verfied,
2008-01-01T00:00:00.000+02:00,54,Historical data not yet verfied,
2007-12-01T00:00:00.000+02:00,25.7,Historical data not yet verfied,
2007-11-01T00:00:00.000+02:00,136,Historical data not yet verfied,
2007-10-01T00:00:00.000+02:00,77.5,Historical data not yet verfied,
2007-09-01T00:00:00.000+02:00,,Historical data not yet verfied,
2007-08-27T00:00:00.000+02:00,,Historical data not yet verfied,
2007-08-16T00:00:00.000+02:00,243.7,Historical data not yet verfied,"""* Note: 5B was verstop en dop het oorgeloop met water. 25B kon ook oorgeloop het, afvoerpyp in bottel neem baie volume op  """
2007-07-01T00:00:00.000+02:00,,Historical data not yet verfied, Note: 21B/26B  Emmers is vol met twee maande se re?n 31/07/07
2007-06-01T00:00:00.000+02:00,,Historical data not yet verfied,Geen lesings vir hierdie maand
2007-05-01T00:00:00.000+02:00,,Historical data not yet verfied,25B - pypie mis. Laaste lesing voor onderbreuking
2007-04-01T00:00:00.000+02:00,155,Historical data not yet verfied,
2007-03-01T00:00:00.000+02:00,38,Historical data not yet verfied,
2007-02-01T00:00:00.000+02:00,47,Historical data not yet verfied,
2007-01-01T00:00:00.000+02:00,1,Historical data not yet verfied,
2006-12-01T00:00:00.000+02:00,52,Historical data not yet verfied,Note:  45.1mm val in SBK in week van 27/12/06 - 03/01/07
2006-11-01T00:00:00.000+02:00,93.7,Historical data not yet verfied,
2006-10-01T00:00:00.000+02:00,8,Historical data not yet verfied,25B - Braai vuur?  Moes water gebruik het om vuur dood te maak
2006-09-01T00:00:00.000+02:00,79.9,Historical data not yet verfied,
2006-08-01T00:00:00.000+02:00,152.5,Historical data not yet verfied,
2006-07-01T00:00:00.000+02:00,194.4,Historical data not yet verfied,26B - vol
2006-06-01T00:00:00.000+02:00,176,Historical data not yet verfied,
2006-05-01T00:00:00.000+02:00,209.3,Historical data not yet verfied,26B - vol
2006-04-01T00:00:00.000+02:00,124.7,Historical data not yet verfied,
2006-03-01T00:00:00.000+02:00,10.5,Historical data not yet verfied,
2006-02-01T00:00:00.000+02:00,38.7,Historical data not yet verfied,
2006-01-01T00:00:00.000+02:00,0,Historical data not yet verfied,
2005-12-01T00:00:00.000+02:00,2.4,Historical data not yet verfied,
2005-11-01T00:00:00.000+02:00,30.3,Historical data not yet verfied,
2005-10-01T00:00:00.000+02:00,75.5,Historical data not yet verfied,
2005-09-01T00:00:00.000+02:00,59,Historical data not yet verfied,
2005-08-01T00:00:00.000+02:00,170,Historical data not yet verfied,26B - vol
2005-07-01T00:00:00.000+02:00,1247,Historical data not yet verfied,
2005-06-01T00:00:00.000+02:00,125,Historical data not yet verfied,26B - vol
2005-05-01T00:00:00.000+02:00,,Historical data not yet verfied,25B/26B - vol
2005-04-01T00:00:00.000+02:00,53,Historical data not yet verfied,
2005-03-01T00:00:00.000+02:00,22.7,Historical data not yet verfied,
2005-02-01T00:00:00.000+02:00,1.7,Historical data not yet verfied,
2005-01-01T00:00:00.000+02:00,109.7,Historical data not yet verfied,
2004-12-01T00:00:00.000+02:00,17.9,Historical data not yet verfied,
2004-11-01T00:00:00.000+02:00,24,Historical data not yet verfied,
2004-10-01T00:00:00.000+02:00,153.3,Historical data not yet verfied,
2004-09-01T00:00:00.000+02:00,37,Historical data not yet verfied,
2004-08-01T00:00:00.000+02:00,230,Historical data not yet verfied,
2004-07-01T00:00:00.000+02:00,191,Historical data not yet verfied,
2004-06-01T00:00:00.000+02:00,135.7,Historical data not yet verfied,
2004-05-01T00:00:00.000+02:00,,Historical data not yet verfied,25B pypie mis
2004-04-01T00:00:00.000+02:00,49,Historical data not yet verfied,
2004-03-01T00:00:00.000+02:00,36.1,Historical data not yet verfied,
2004-02-01T00:00:00.000+02:00,0,Historical data not yet verfied,
2004-01-01T00:00:00.000+02:00,36.3,Historical data not yet verfied,
2003-12-01T00:00:00.000+02:00,77.9,Historical data not yet verfied,
2003-11-01T00:00:00.000+02:00,1,Historical data not yet verfied,
2003-10-01T00:00:00.000+02:00,93,Historical data not yet verfied,
2003-09-01T00:00:00.000+02:00,163,Historical data not yet verfied,
2003-08-01T00:00:00.000+02:00,26.4,Historical data not yet verfied,26B - vol
2003-07-01T00:00:00.000+02:00,107.7,Historical data not yet verfied,
2003-06-01T00:00:00.000+02:00,,Historical data not yet verfied,26B - weg
2003-05-01T00:00:00.000+02:00,,Historical data not yet verfied,26B - weg
2003-04-01T00:00:00.000+02:00,663,Historical data not yet verfied,
2003-03-01T00:00:00.000+02:00,187.5,Historical data not yet verfied,
2003-02-01T00:00:00.000+02:00,191,Historical data not yet verfied,
2003-01-01T00:00:00.000+02:00,183,Historical data not yet verfied,
2002-12-01T00:00:00.000+02:00,35.5,Historical data not yet verfied,
2002-11-01T00:00:00.000+02:00,37.2,Historical data not yet verfied,
2002-10-01T00:00:00.000+02:00,75,Historical data not yet verfied,
2002-09-01T00:00:00.000+02:00,169,Historical data not yet verfied,
2002-08-01T00:00:00.000+02:00,113.7,Historical data not yet verfied,
2002-07-01T00:00:00.000+02:00,231.3,Historical data not yet verfied,26B - vol
2002-06-01T00:00:00.000+02:00,229,Historical data not yet verfied,26B - vol
2002-05-01T00:00:00.000+02:00,156.3,Historical data not yet verfied,
2002-04-01T00:00:00.000+02:00,63.1,Historical data not yet verfied,
2002-03-01T00:00:00.000+02:00,12.9,Historical data not yet verfied,
2002-02-01T00:00:00.000+02:00,7.7,Historical data not yet verfied,
2002-01-01T00:00:00.000+02:00,136.5,Historical data not yet verfied,
2001-12-01T00:00:00.000+02:00,34.9,Historical data not yet verfied,
2001-11-01T00:00:00.000+02:00,45.7,Historical data not yet verfied,
2001-10-01T00:00:00.000+02:00,,Historical data not yet verfied,25B - weg
2001-09-01T00:00:00.000+02:00,,Historical data not yet verfied,25B - weg
2001-08-01T00:00:00.000+02:00,289.9,Historical data not yet verfied,26B - vol
2001-07-01T00:00:00.000+02:00,448,Historical data not yet verfied, 21B/26B - vol
2001-06-01T00:00:00.000+02:00,95.5,Historical data not yet verfied,
2001-05-01T00:00:00.000+02:00,99,Historical data not yet verfied,25B Mense was hier by die reenmeter
2001-04-01T00:00:00.000+02:00,56,Historical data not yet verfied,
2001-03-01T00:00:00.000+02:00,1,Historical data not yet verfied,
2001-02-01T00:00:00.000+02:00,21.1,Historical data not yet verfied,
2001-01-01T00:00:00.000+02:00,58.9,Historical data not yet verfied,
2000-12-01T00:00:00.000+02:00,0,Historical data not yet verfied,
2000-11-01T00:00:00.000+02:00,32.7,Historical data not yet verfied,
2000-10-01T00:00:00.000+02:00,7.3,Historical data not yet verfied,
2000-09-01T00:00:00.000+02:00,19.9,Historical data not yet verfied,26B - Vol
2000-08-01T00:00:00.000+02:00,76.6,Historical data not yet verfied,
2000-07-01T00:00:00.000+02:00,22.8,Historical data not yet verfied,
2000-06-01T00:00:00.000+02:00,132.8,Historical data not yet verfied,
2000-05-01T00:00:00.000+02:00,168.5,Historical data not yet verfied,
2000-04-01T00:00:00.000+02:00,28,Historical data not yet verfied,
2000-03-01T00:00:00.000+02:00,18.2,Historical data not yet verfied,
2000-02-01T00:00:00.000+02:00,1.3,Historical data not yet verfied,
2000-01-01T00:00:00.000+02:00,39.9,Historical data not yet verfied,
1999-12-01T00:00:00.000+02:00,7.4,Historical data not yet verfied,
1999-11-01T00:00:00.000+02:00,35.7,Historical data not yet verfied,
1999-10-01T00:00:00.000+02:00,14.6,Historical data not yet verfied,
1999-09-01T00:00:00.000+02:00,198.3,Historical data not yet verfied,
1999-08-01T00:00:00.000+02:00,262.2,Historical data not yet verfied,5B/21B - Vol
1999-07-01T00:00:00.000+02:00,191.1,Historical data not yet verfied,
1999-06-01T00:00:00.000+02:00,161,Historical data not yet verfied,
1999-05-01T00:00:00.000+02:00,105.6,Historical data not yet verfied,
1999-04-01T00:00:00.000+02:00,117.3,Historical data not yet verfied,
1999-03-01T00:00:00.000+02:00,0,Historical data not yet verfied,
1999-02-01T00:00:00.000+02:00,5,Historical data not yet verfied,
1999-01-01T00:00:00.000+02:00,4.1,Historical data not yet verfied,
1998-12-01T00:00:00.000+02:00,112.8,Historical data not yet verfied,
1998-11-01T00:00:00.000+02:00,34.9,Historical data not yet verfied,
1998-10-01T00:00:00.000+02:00,120.1,Historical data not yet verfied,
1998-09-01T00:00:00.000+02:00,75.3,Historical data not yet verfied,
1998-08-01T00:00:00.000+02:00,157.8,Historical data not yet verfied,
1998-07-01T00:00:00.000+02:00,189.7,Historical data not yet verfied,5B - Dop le op die grond
