Date,Value,Comment
1991-09-01T00:00:00.000+02:00,320.8,Historical data not yet verfied
1991-08-01T00:00:00.000+02:00,32.5,Historical data not yet verfied
1991-07-01T00:00:00.000+02:00,688.5,Historical data not yet verfied
1991-06-01T00:00:00.000+02:00,510.4,Historical data not yet verfied
1991-05-01T00:00:00.000+02:00,375,Historical data not yet verfied
1991-04-01T00:00:00.000+02:00,97.4,Historical data not yet verfied
1991-03-01T00:00:00.000+02:00,65.2,Historical data not yet verfied
1991-02-01T00:00:00.000+02:00,58,Historical data not yet verfied
1991-01-01T00:00:00.000+02:00,66.9,Historical data not yet verfied
1990-12-01T00:00:00.000+02:00,133.7,Historical data not yet verfied
1990-11-01T00:00:00.000+02:00,86.5,Historical data not yet verfied
1990-10-01T00:00:00.000+02:00,29,Historical data not yet verfied
1990-09-01T00:00:00.000+02:00,128.7,Historical data not yet verfied
1990-08-01T00:00:00.000+02:00,198.3,Historical data not yet verfied
1990-07-01T00:00:00.000+02:00,588.7,Historical data not yet verfied
1990-06-01T00:00:00.000+02:00,223.8,Historical data not yet verfied
1990-05-01T00:00:00.000+02:00,467.6,Historical data not yet verfied
1990-04-01T00:00:00.000+02:00,346.6,Historical data not yet verfied
1990-03-01T00:00:00.000+02:00,10.7,Historical data not yet verfied
1990-02-01T00:00:00.000+02:00,130,Historical data not yet verfied
1990-01-01T00:00:00.000+02:00,38.5,Historical data not yet verfied
1989-12-01T00:00:00.000+02:00,35,Historical data not yet verfied
1989-11-01T00:00:00.000+02:00,120.4,Historical data not yet verfied
1989-10-01T00:00:00.000+02:00,110,Historical data not yet verfied
1989-09-01T00:00:00.000+02:00,212.3,Historical data not yet verfied
1989-08-01T00:00:00.000+02:00,331.6,Historical data not yet verfied
1989-07-01T00:00:00.000+02:00,337.9,Historical data not yet verfied
1989-06-01T00:00:00.000+02:00,272.2,Historical data not yet verfied
1989-05-01T00:00:00.000+02:00,310,Historical data not yet verfied
1989-04-01T00:00:00.000+02:00,189,Historical data not yet verfied
1989-03-01T00:00:00.000+02:00,212,Historical data not yet verfied
1989-02-01T00:00:00.000+02:00,87,Historical data not yet verfied
1989-01-01T00:00:00.000+02:00,0,Historical data not yet verfied
1988-12-01T00:00:00.000+02:00,70,Historical data not yet verfied
1988-11-01T00:00:00.000+02:00,33.7,Historical data not yet verfied
1988-10-01T00:00:00.000+02:00,103.2,Historical data not yet verfied
1988-09-01T00:00:00.000+02:00,513.5,Historical data not yet verfied
1988-08-01T00:00:00.000+02:00,69,Historical data not yet verfied
1988-07-01T00:00:00.000+02:00,338.2,Historical data not yet verfied
1988-06-01T00:00:00.000+02:00,302.4,Historical data not yet verfied
1988-05-01T00:00:00.000+02:00,291,Historical data not yet verfied
1988-04-01T00:00:00.000+02:00,266.6,Historical data not yet verfied
1988-03-01T00:00:00.000+02:00,44.3,Historical data not yet verfied
1988-02-01T00:00:00.000+02:00,13,Historical data not yet verfied
1988-01-01T00:00:00.000+02:00,10.2,Historical data not yet verfied
1987-12-01T00:00:00.000+02:00,220.5,Historical data not yet verfied
1987-11-01T00:00:00.000+02:00,67.4,Historical data not yet verfied
1987-10-01T00:00:00.000+02:00,58.9,Historical data not yet verfied
1987-09-01T00:00:00.000+02:00,307,Historical data not yet verfied
1987-08-01T00:00:00.000+02:00,264.1,Historical data not yet verfied
1987-07-01T00:00:00.000+02:00,423.2,Historical data not yet verfied
1987-06-01T00:00:00.000+02:00,337.9,Historical data not yet verfied
1987-05-01T00:00:00.000+02:00,378,Historical data not yet verfied
1987-04-01T00:00:00.000+02:00,140.5,Historical data not yet verfied
1987-03-01T00:00:00.000+02:00,86.3,Historical data not yet verfied
1987-02-01T00:00:00.000+02:00,38.9,Historical data not yet verfied
1987-01-01T00:00:00.000+02:00,110,Historical data not yet verfied
1986-12-01T00:00:00.000+02:00,27,Historical data not yet verfied
1986-11-01T00:00:00.000+02:00,31.8,Historical data not yet verfied
1986-10-01T00:00:00.000+02:00,30.8,Historical data not yet verfied
1986-09-01T00:00:00.000+02:00,229.2,Historical data not yet verfied
1986-08-01T00:00:00.000+02:00,,Historical data not yet verfied
