Date,Value,Comment
1968-04-01T00:00:00.000+02:00,301,Historical data not yet verfied
1968-03-01T00:00:00.000+02:00,0,Historical data not yet verfied
1968-02-01T00:00:00.000+02:00,46,Historical data not yet verfied
1968-01-01T00:00:00.000+02:00,72,Historical data not yet verfied
1967-12-01T00:00:00.000+02:00,22,Historical data not yet verfied
1967-11-01T00:00:00.000+02:00,92.5,Historical data not yet verfied
1967-10-01T00:00:00.000+02:00,146,Historical data not yet verfied
1967-09-01T00:00:00.000+02:00,123,Historical data not yet verfied
1967-08-01T00:00:00.000+02:00,102.5,Historical data not yet verfied
1967-07-01T00:00:00.000+02:00,141.5,Historical data not yet verfied
1967-06-01T00:00:00.000+02:00,355.5,Historical data not yet verfied
1967-05-01T00:00:00.000+02:00,183.5,Historical data not yet verfied
1967-04-01T00:00:00.000+02:00,223,Historical data not yet verfied
1967-03-01T00:00:00.000+02:00,20,Historical data not yet verfied
1967-02-01T00:00:00.000+02:00,1.3,Historical data not yet verfied
1967-01-01T00:00:00.000+02:00,69.5,Historical data not yet verfied
1966-12-01T00:00:00.000+02:00,46.5,Historical data not yet verfied
1966-11-01T00:00:00.000+02:00,68.5,Historical data not yet verfied
1966-10-01T00:00:00.000+02:00,7.5,Historical data not yet verfied
1966-09-01T00:00:00.000+02:00,96.5,Historical data not yet verfied
1966-08-01T00:00:00.000+02:00,236,Historical data not yet verfied
1966-07-01T00:00:00.000+02:00,241.5,Historical data not yet verfied
1966-06-01T00:00:00.000+02:00,235.5,Historical data not yet verfied
1966-05-01T00:00:00.000+02:00,200,Historical data not yet verfied
1966-04-01T00:00:00.000+02:00,93.5,Historical data not yet verfied
1966-03-01T00:00:00.000+02:00,194.5,Historical data not yet verfied
1966-02-01T00:00:00.000+02:00,41,Historical data not yet verfied
1966-01-01T00:00:00.000+02:00,5.5,Historical data not yet verfied
1965-12-01T00:00:00.000+02:00,101,Historical data not yet verfied
1965-11-01T00:00:00.000+02:00,22,Historical data not yet verfied
1965-10-01T00:00:00.000+02:00,39,Historical data not yet verfied
1965-09-01T00:00:00.000+02:00,106.5,Historical data not yet verfied
1965-08-01T00:00:00.000+02:00,226,Historical data not yet verfied
1965-07-01T00:00:00.000+02:00,112,Historical data not yet verfied
1965-06-01T00:00:00.000+02:00,90.5,Historical data not yet verfied
1965-05-01T00:00:00.000+02:00,222.5,Historical data not yet verfied
1965-04-01T00:00:00.000+02:00,139.5,Historical data not yet verfied
1965-03-01T00:00:00.000+02:00,174,Historical data not yet verfied
1965-02-01T00:00:00.000+02:00,118.5,Historical data not yet verfied
1965-01-01T00:00:00.000+02:00,61,Historical data not yet verfied
1964-12-01T00:00:00.000+02:00,24.5,Historical data not yet verfied
1964-11-01T00:00:00.000+02:00,102,Historical data not yet verfied
1964-10-01T00:00:00.000+02:00,115,Historical data not yet verfied
1964-09-01T00:00:00.000+02:00,52.5,Historical data not yet verfied
1964-08-01T00:00:00.000+02:00,190.5,Historical data not yet verfied
1964-07-01T00:00:00.000+02:00,191.5,Historical data not yet verfied
1964-06-01T00:00:00.000+02:00,224,Historical data not yet verfied
1964-05-01T00:00:00.000+02:00,156,Historical data not yet verfied
1964-04-01T00:00:00.000+02:00,61,Historical data not yet verfied
1964-03-01T00:00:00.000+02:00,3,Historical data not yet verfied
1964-02-01T00:00:00.000+02:00,139,Historical data not yet verfied
1964-01-01T00:00:00.000+02:00,14.5,Historical data not yet verfied
1963-12-01T00:00:00.000+02:00,83,Historical data not yet verfied
1963-11-01T00:00:00.000+02:00,103,Historical data not yet verfied
1963-10-01T00:00:00.000+02:00,26.5,Historical data not yet verfied
