Date,Value,Comment,Comment
2008-02-01T00:00:00.000+02:00,74.5684,Historical data not yet verfied,
2008-01-01T00:00:00.000+02:00,45.982,Historical data not yet verfied,
2007-12-01T00:00:00.000+02:00,32.4644,Historical data not yet verfied,
2007-11-01T00:00:00.000+02:00,127.7524,Historical data not yet verfied,
2007-10-01T00:00:00.000+02:00,92.518,Historical data not yet verfied,
2007-09-01T00:00:00.000+02:00,,Historical data not yet verfied,
2007-08-27T00:00:00.000+02:00,48.3088,Historical data not yet verfied,
2007-08-16T00:00:00.000+02:00,453.5044,Historical data not yet verfied,"""* Note: 5B was verstop en dop het oorgeloop met water. 25B kon ook oorgeloop het, afvoerpyp in bottel neem baie volume op  """
2007-07-01T00:00:00.000+02:00,,Historical data not yet verfied, Note: 21B/26B  Emmers is vol met twee maande se re?n 31/07/07
2007-06-01T00:00:00.000+02:00,,Historical data not yet verfied,Geen lesings vir hierdie maand
2007-05-01T00:00:00.000+02:00,147.364,Historical data not yet verfied,25B - pypie mis. Laaste lesing voor onderbreuking
2007-04-01T00:00:00.000+02:00,127.974,Historical data not yet verfied,
2007-03-01T00:00:00.000+02:00,52.076,Historical data not yet verfied,
2007-02-01T00:00:00.000+02:00,40.996,Historical data not yet verfied,
2007-01-01T00:00:00.000+02:00,2.9916,Historical data not yet verfied,
2006-12-01T00:00:00.000+02:00,52.5192,Historical data not yet verfied,Note:  45.1mm val in SBK in week van 27/12/06 - 03/01/07
2006-11-01T00:00:00.000+02:00,77.8924,Historical data not yet verfied,
2006-10-01T00:00:00.000+02:00,75.344,Historical data not yet verfied,25B - Braai vuur?  Moes water gebruik het om vuur dood te maak
2006-09-01T00:00:00.000+02:00,70.8012,Historical data not yet verfied,
2006-08-01T00:00:00.000+02:00,188.2492,Historical data not yet verfied,
2006-07-01T00:00:00.000+02:00,229.1344,Historical data not yet verfied,26B - vol
2006-06-01T00:00:00.000+02:00,181.158,Historical data not yet verfied,
2006-05-01T00:00:00.000+02:00,251.8484,Historical data not yet verfied,26B - vol
2006-04-01T00:00:00.000+02:00,127.0876,Historical data not yet verfied,
2006-03-01T00:00:00.000+02:00,10.9692,Historical data not yet verfied,
2006-02-01T00:00:00.000+02:00,37.3396,Historical data not yet verfied,
2006-01-01T00:00:00.000+02:00,0,Historical data not yet verfied,
2005-12-01T00:00:00.000+02:00,3.7672,Historical data not yet verfied,
2005-11-01T00:00:00.000+02:00,28.1432,Historical data not yet verfied,
2005-10-01T00:00:00.000+02:00,74.79,Historical data not yet verfied,
2005-09-01T00:00:00.000+02:00,66.7016,Historical data not yet verfied,
2005-08-01T00:00:00.000+02:00,242.652,Historical data not yet verfied,26B - vol
2005-07-01T00:00:00.000+02:00,167.308,Historical data not yet verfied,
2005-06-01T00:00:00.000+02:00,85.7592,Historical data not yet verfied,26B - vol
2005-05-01T00:00:00.000+02:00,320.212,Historical data not yet verfied,25B/26B - vol
2005-04-01T00:00:00.000+02:00,91.964,Historical data not yet verfied,
2005-03-01T00:00:00.000+02:00,18.836,Historical data not yet verfied,
2005-02-01T00:00:00.000+02:00,0.9972,Historical data not yet verfied,
2005-01-01T00:00:00.000+02:00,97.1716,Historical data not yet verfied,
2004-12-01T00:00:00.000+02:00,13.296,Historical data not yet verfied,
2004-11-01T00:00:00.000+02:00,17.728,Historical data not yet verfied,
2004-10-01T00:00:00.000+02:00,93.5152,Historical data not yet verfied,
2004-09-01T00:00:00.000+02:00,39.334,Historical data not yet verfied,
2004-08-01T00:00:00.000+02:00,241.8764,Historical data not yet verfied,
2004-07-01T00:00:00.000+02:00,185.036,Historical data not yet verfied,
2004-06-01T00:00:00.000+02:00,159.8844,Historical data not yet verfied,
2004-05-01T00:00:00.000+02:00,24.0436,Historical data not yet verfied,25B pypie mis
2004-04-01T00:00:00.000+02:00,46.536,Historical data not yet verfied,
2004-03-01T00:00:00.000+02:00,28.808,Historical data not yet verfied,
2004-02-01T00:00:00.000+02:00,0,Historical data not yet verfied,
2004-01-01T00:00:00.000+02:00,29.5836,Historical data not yet verfied,
2003-12-01T00:00:00.000+02:00,78.5572,Historical data not yet verfied,
2003-11-01T00:00:00.000+02:00,0,Historical data not yet verfied,
2003-10-01T00:00:00.000+02:00,88.64,Historical data not yet verfied,
