Date,Value,Comment
1968-04-01T00:00:00.000+02:00,284.5,Historical data not yet verfied
1968-03-01T00:00:00.000+02:00,0.5,Historical data not yet verfied
1968-02-01T00:00:00.000+02:00,46.5,Historical data not yet verfied
1968-01-01T00:00:00.000+02:00,64,Historical data not yet verfied
1967-12-01T00:00:00.000+02:00,24.5,Historical data not yet verfied
1967-11-01T00:00:00.000+02:00,102.5,Historical data not yet verfied
1967-10-01T00:00:00.000+02:00,160,Historical data not yet verfied
1967-09-01T00:00:00.000+02:00,136.5,Historical data not yet verfied
1967-08-01T00:00:00.000+02:00,131.5,Historical data not yet verfied
1967-07-01T00:00:00.000+02:00,169.5,Historical data not yet verfied
1967-06-01T00:00:00.000+02:00,394,Historical data not yet verfied
1967-05-01T00:00:00.000+02:00,173,Historical data not yet verfied
1967-04-01T00:00:00.000+02:00,220,Historical data not yet verfied
1967-03-01T00:00:00.000+02:00,20.5,Historical data not yet verfied
1967-02-01T00:00:00.000+02:00,1.5,Historical data not yet verfied
1967-01-01T00:00:00.000+02:00,57.5,Historical data not yet verfied
1966-12-01T00:00:00.000+02:00,38,Historical data not yet verfied
1966-11-01T00:00:00.000+02:00,55,Historical data not yet verfied
1966-10-01T00:00:00.000+02:00,14,Historical data not yet verfied
1966-09-01T00:00:00.000+02:00,98.5,Historical data not yet verfied
1966-08-01T00:00:00.000+02:00,229.5,Historical data not yet verfied
1966-07-01T00:00:00.000+02:00,239,Historical data not yet verfied
1966-06-01T00:00:00.000+02:00,251,Historical data not yet verfied
1966-05-01T00:00:00.000+02:00,200,Historical data not yet verfied
1966-04-01T00:00:00.000+02:00,105,Historical data not yet verfied
1966-03-01T00:00:00.000+02:00,204.5,Historical data not yet verfied
1966-02-01T00:00:00.000+02:00,38,Historical data not yet verfied
1966-01-01T00:00:00.000+02:00,9,Historical data not yet verfied
1965-12-01T00:00:00.000+02:00,103,Historical data not yet verfied
1965-11-01T00:00:00.000+02:00,14.5,Historical data not yet verfied
1965-10-01T00:00:00.000+02:00,55,Historical data not yet verfied
1965-09-01T00:00:00.000+02:00,95.5,Historical data not yet verfied
1965-08-01T00:00:00.000+02:00,308.5,Historical data not yet verfied
1965-07-01T00:00:00.000+02:00,62,Historical data not yet verfied
1965-06-01T00:00:00.000+02:00,98.5,Historical data not yet verfied
1965-05-01T00:00:00.000+02:00,220,Historical data not yet verfied
1965-04-01T00:00:00.000+02:00,101.5,Historical data not yet verfied
1965-03-01T00:00:00.000+02:00,210.5,Historical data not yet verfied
1965-02-01T00:00:00.000+02:00,117.5,Historical data not yet verfied
1965-01-01T00:00:00.000+02:00,61,Historical data not yet verfied
1964-12-01T00:00:00.000+02:00,27.5,Historical data not yet verfied
1964-11-01T00:00:00.000+02:00,97.5,Historical data not yet verfied
1964-10-01T00:00:00.000+02:00,111.5,Historical data not yet verfied
1964-09-01T00:00:00.000+02:00,61,Historical data not yet verfied
1964-08-01T00:00:00.000+02:00,272,Historical data not yet verfied
1964-07-01T00:00:00.000+02:00,167,Historical data not yet verfied
1964-06-01T00:00:00.000+02:00,256,Historical data not yet verfied
1964-05-01T00:00:00.000+02:00,201,Historical data not yet verfied
1964-04-01T00:00:00.000+02:00,65.5,Historical data not yet verfied
1964-03-01T00:00:00.000+02:00,6.5,Historical data not yet verfied
1964-02-01T00:00:00.000+02:00,145.5,Historical data not yet verfied
1964-01-01T00:00:00.000+02:00,9,Historical data not yet verfied
1963-12-01T00:00:00.000+02:00,102,Historical data not yet verfied
1963-11-01T00:00:00.000+02:00,89,Historical data not yet verfied
1963-10-01T00:00:00.000+02:00,13,Historical data not yet verfied
1963-09-01T00:00:00.000+02:00,122.5,Historical data not yet verfied
1963-08-01T00:00:00.000+02:00,329,Historical data not yet verfied
1963-07-01T00:00:00.000+02:00,326.5,Historical data not yet verfied
1963-06-01T00:00:00.000+02:00,188.5,Historical data not yet verfied
1963-05-01T00:00:00.000+02:00,80.5,Historical data not yet verfied
1963-04-01T00:00:00.000+02:00,33,Historical data not yet verfied
1963-03-01T00:00:00.000+02:00,16,Historical data not yet verfied
1963-02-01T00:00:00.000+02:00,7,Historical data not yet verfied
1963-01-01T00:00:00.000+02:00,25.5,Historical data not yet verfied
1962-12-01T00:00:00.000+02:00,25.5,Historical data not yet verfied
1962-11-01T00:00:00.000+02:00,78,Historical data not yet verfied
1962-10-01T00:00:00.000+02:00,214,Historical data not yet verfied
1962-09-01T00:00:00.000+02:00,116,Historical data not yet verfied
1962-08-01T00:00:00.000+02:00,390.5,Historical data not yet verfied
1962-07-01T00:00:00.000+02:00,196,Historical data not yet verfied
1962-06-01T00:00:00.000+02:00,691,Historical data not yet verfied
1962-05-01T00:00:00.000+02:00,87.5,Historical data not yet verfied
1962-04-01T00:00:00.000+02:00,148.5,Historical data not yet verfied
1962-03-01T00:00:00.000+02:00,124,Historical data not yet verfied
1962-02-01T00:00:00.000+02:00,63,Historical data not yet verfied
1962-01-01T00:00:00.000+02:00,25,Historical data not yet verfied
1961-12-01T00:00:00.000+02:00,39,Historical data not yet verfied
1961-11-01T00:00:00.000+02:00,0.2,Historical data not yet verfied
1961-10-01T00:00:00.000+02:00,60.5,Historical data not yet verfied
1961-09-01T00:00:00.000+02:00,60,Historical data not yet verfied
1961-08-01T00:00:00.000+02:00,353,Historical data not yet verfied
1961-07-01T00:00:00.000+02:00,192,Historical data not yet verfied
1961-06-01T00:00:00.000+02:00,287.5,Historical data not yet verfied
1961-05-01T00:00:00.000+02:00,172,Historical data not yet verfied
1961-04-01T00:00:00.000+02:00,46.5,Historical data not yet verfied
1961-03-01T00:00:00.000+02:00,32.5,Historical data not yet verfied
1961-02-01T00:00:00.000+02:00,23,Historical data not yet verfied
1961-01-01T00:00:00.000+02:00,91,Historical data not yet verfied
1960-12-01T00:00:00.000+02:00,41.5,Historical data not yet verfied
1960-11-01T00:00:00.000+02:00,8.5,Historical data not yet verfied
1960-10-01T00:00:00.000+02:00,47.5,Historical data not yet verfied
1960-09-01T00:00:00.000+02:00,96.5,Historical data not yet verfied
1960-08-01T00:00:00.000+02:00,90,Historical data not yet verfied
1960-07-01T00:00:00.000+02:00,41.5,Historical data not yet verfied
1960-06-01T00:00:00.000+02:00,363,Historical data not yet verfied
1960-05-01T00:00:00.000+02:00,367,Historical data not yet verfied
1960-04-01T00:00:00.000+02:00,,Historical data not yet verfied
1960-03-01T00:00:00.000+02:00,195.5,Historical data not yet verfied
1960-02-01T00:00:00.000+02:00,30,Historical data not yet verfied
1960-01-01T00:00:00.000+02:00,73.5,Historical data not yet verfied
1959-12-01T00:00:00.000+02:00,47,Historical data not yet verfied
1959-11-01T00:00:00.000+02:00,5.5,Historical data not yet verfied
1959-10-01T00:00:00.000+02:00,78,Historical data not yet verfied
1959-09-01T00:00:00.000+02:00,242,Historical data not yet verfied
