Date,Value,Comment
1968-04-30T00:00:00.000+02:00,8,Historical data not yet verfied
1968-04-29T00:00:00.000+02:00,34.4,Historical data not yet verfied
1968-04-27T00:00:00.000+02:00,15.5,Historical data not yet verfied
1968-04-26T00:00:00.000+02:00,13.2,Historical data not yet verfied
1968-04-20T00:00:00.000+02:00,1.7,Historical data not yet verfied
1968-04-19T00:00:00.000+02:00,0,Historical data not yet verfied
1968-04-10T00:00:00.000+02:00,0.8,Historical data not yet verfied
1968-04-09T00:00:00.000+02:00,32,Historical data not yet verfied
1968-04-07T00:00:00.000+02:00,0.3,Historical data not yet verfied
1968-04-06T00:00:00.000+02:00,27.2,Historical data not yet verfied
1968-04-05T00:00:00.000+02:00,0.4,Historical data not yet verfied
1968-03-17T00:00:00.000+02:00,0,Historical data not yet verfied
1968-02-24T00:00:00.000+02:00,2.4,Historical data not yet verfied
1968-02-20T00:00:00.000+02:00,1.7,Historical data not yet verfied
1968-02-19T00:00:00.000+02:00,1.3,Historical data not yet verfied
1968-02-18T00:00:00.000+02:00,7.6,Historical data not yet verfied
1968-02-16T00:00:00.000+02:00,22.2,Historical data not yet verfied
1968-02-15T00:00:00.000+02:00,0.3,Historical data not yet verfied
1968-02-09T00:00:00.000+02:00,0.8,Historical data not yet verfied
1968-02-08T00:00:00.000+02:00,6.3,Historical data not yet verfied
1968-01-31T00:00:00.000+02:00,12.5,Historical data not yet verfied
1968-01-26T00:00:00.000+02:00,13,Historical data not yet verfied
1968-01-23T00:00:00.000+02:00,1.8,Historical data not yet verfied
1968-01-22T00:00:00.000+02:00,12.9,Historical data not yet verfied
1968-01-18T00:00:00.000+02:00,19.5,Historical data not yet verfied
1968-01-16T00:00:00.000+02:00,1.5,Historical data not yet verfied
1968-01-15T00:00:00.000+02:00,0.6,Historical data not yet verfied
1968-01-11T00:00:00.000+02:00,0,Historical data not yet verfied
1968-01-05T00:00:00.000+02:00,4.5,Historical data not yet verfied
1968-01-04T00:00:00.000+02:00,18.5,Historical data not yet verfied
1968-01-03T00:00:00.000+02:00,13.4,Historical data not yet verfied
1967-12-10T00:00:00.000+02:00,14.8,Historical data not yet verfied
1967-12-03T00:00:00.000+02:00,1.2,Historical data not yet verfied
1967-12-01T00:00:00.000+02:00,7.8,Historical data not yet verfied
1967-11-30T00:00:00.000+02:00,0.5,Historical data not yet verfied
1967-11-24T00:00:00.000+02:00,0.4,Historical data not yet verfied
1967-11-23T00:00:00.000+02:00,23.4,Historical data not yet verfied
1967-11-22T00:00:00.000+02:00,41.4,Historical data not yet verfied
1967-11-16T00:00:00.000+02:00,3.1,Historical data not yet verfied
1967-11-06T00:00:00.000+02:00,1.5,Historical data not yet verfied
1967-11-05T00:00:00.000+02:00,1,Historical data not yet verfied
1967-10-24T00:00:00.000+02:00,6.1,Historical data not yet verfied
1967-10-23T00:00:00.000+02:00,33.3,Historical data not yet verfied
1967-10-21T00:00:00.000+02:00,2.3,Historical data not yet verfied
1967-10-20T00:00:00.000+02:00,0.4,Historical data not yet verfied
1967-10-19T00:00:00.000+02:00,0.1,Historical data not yet verfied
1967-10-17T00:00:00.000+02:00,10.2,Historical data not yet verfied
1967-10-16T00:00:00.000+02:00,5.7,Historical data not yet verfied
1967-10-11T00:00:00.000+02:00,8.2,Historical data not yet verfied
1967-10-10T00:00:00.000+02:00,0.8,Historical data not yet verfied
1967-10-06T00:00:00.000+02:00,40.1,Historical data not yet verfied
1967-10-05T00:00:00.000+02:00,2.2,Historical data not yet verfied
1967-10-04T00:00:00.000+02:00,12.3,Historical data not yet verfied
1967-10-03T00:00:00.000+02:00,23.2,Historical data not yet verfied
1967-10-01T00:00:00.000+02:00,11.8,Historical data not yet verfied
1967-09-30T00:00:00.000+02:00,18.8,Historical data not yet verfied
1967-09-21T00:00:00.000+02:00,22,Historical data not yet verfied
1967-09-19T00:00:00.000+02:00,11.2,Historical data not yet verfied
1967-09-18T00:00:00.000+02:00,8.8,Historical data not yet verfied
1967-09-04T00:00:00.000+02:00,2.7,Historical data not yet verfied
1967-09-03T00:00:00.000+02:00,28.4,Historical data not yet verfied
1967-09-02T00:00:00.000+02:00,11.6,Historical data not yet verfied
1967-08-30T00:00:00.000+02:00,9.6,Historical data not yet verfied
1967-08-17T00:00:00.000+02:00,17.3,Historical data not yet verfied
1967-08-16T00:00:00.000+02:00,34.5,Historical data not yet verfied
1967-08-12T00:00:00.000+02:00,14.5,Historical data not yet verfied
1967-08-06T00:00:00.000+02:00,1.5,Historical data not yet verfied
1967-08-05T00:00:00.000+02:00,30.5,Historical data not yet verfied
1967-08-04T00:00:00.000+02:00,10.8,Historical data not yet verfied
1967-08-01T00:00:00.000+02:00,0.9,Historical data not yet verfied
1967-07-31T00:00:00.000+02:00,5.4,Historical data not yet verfied
1967-07-30T00:00:00.000+02:00,19.2,Historical data not yet verfied
1967-07-24T00:00:00.000+02:00,9.4,Historical data not yet verfied
1967-07-23T00:00:00.000+02:00,46.2,Historical data not yet verfied
1967-07-20T00:00:00.000+02:00,4.3,Historical data not yet verfied
1967-07-19T00:00:00.000+02:00,32.5,Historical data not yet verfied
1967-07-12T00:00:00.000+02:00,0.5,Historical data not yet verfied
1967-07-11T00:00:00.000+02:00,5,Historical data not yet verfied
1967-07-02T00:00:00.000+02:00,14.5,Historical data not yet verfied
1967-06-30T00:00:00.000+02:00,14.6,Historical data not yet verfied
1967-06-27T00:00:00.000+02:00,2.6,Historical data not yet verfied
1967-06-26T00:00:00.000+02:00,6.4,Historical data not yet verfied
1967-06-23T00:00:00.000+02:00,6.3,Historical data not yet verfied
1967-06-22T00:00:00.000+02:00,15.1,Historical data not yet verfied
1967-06-19T00:00:00.000+02:00,10.6,Historical data not yet verfied
1967-06-18T00:00:00.000+02:00,0.5,Historical data not yet verfied
1967-06-11T00:00:00.000+02:00,30.5,Historical data not yet verfied
1967-06-09T00:00:00.000+02:00,103.4,Historical data not yet verfied
1967-06-08T00:00:00.000+02:00,8,Historical data not yet verfied
1967-06-07T00:00:00.000+02:00,18.8,Historical data not yet verfied
1967-06-06T00:00:00.000+02:00,21.6,Historical data not yet verfied
1967-06-05T00:00:00.000+02:00,46.7,Historical data not yet verfied
1967-06-04T00:00:00.000+02:00,22.2,Historical data not yet verfied
1967-05-31T00:00:00.000+02:00,5.4,Historical data not yet verfied
1967-05-30T00:00:00.000+02:00,15,Historical data not yet verfied
1967-05-29T00:00:00.000+02:00,23.4,Historical data not yet verfied
1967-05-27T00:00:00.000+02:00,2,Historical data not yet verfied
1967-05-26T00:00:00.000+02:00,16.8,Historical data not yet verfied
1967-05-25T00:00:00.000+02:00,2.3,Historical data not yet verfied
1967-05-21T00:00:00.000+02:00,17.2,Historical data not yet verfied
1967-05-20T00:00:00.000+02:00,11.2,Historical data not yet verfied
1967-05-19T00:00:00.000+02:00,12.1,Historical data not yet verfied
1967-05-14T00:00:00.000+02:00,0.1,Historical data not yet verfied
1967-05-12T00:00:00.000+02:00,12.5,Historical data not yet verfied
1967-05-06T00:00:00.000+02:00,1.7,Historical data not yet verfied
1967-05-05T00:00:00.000+02:00,1.5,Historical data not yet verfied
1967-05-02T00:00:00.000+02:00,6.8,Historical data not yet verfied
1967-04-30T00:00:00.000+02:00,5,Historical data not yet verfied
1967-04-29T00:00:00.000+02:00,1.5,Historical data not yet verfied
1967-04-27T00:00:00.000+02:00,29,Historical data not yet verfied
1967-04-26T00:00:00.000+02:00,18.4,Historical data not yet verfied
1967-04-25T00:00:00.000+02:00,0.5,Historical data not yet verfied
1967-04-24T00:00:00.000+02:00,34,Historical data not yet verfied
1967-04-20T00:00:00.000+02:00,46.6,Historical data not yet verfied
1967-04-19T00:00:00.000+02:00,20,Historical data not yet verfied
1967-04-16T00:00:00.000+02:00,0.2,Historical data not yet verfied
1967-04-15T00:00:00.000+02:00,7.3,Historical data not yet verfied
1967-04-14T00:00:00.000+02:00,4.5,Historical data not yet verfied
1967-04-12T00:00:00.000+02:00,23.6,Historical data not yet verfied
1967-04-11T00:00:00.000+02:00,7,Historical data not yet verfied
1967-04-08T00:00:00.000+02:00,0.8,Historical data not yet verfied
1967-04-07T00:00:00.000+02:00,1.1,Historical data not yet verfied
1967-04-01T00:00:00.000+02:00,0.2,Historical data not yet verfied
1967-03-31T00:00:00.000+02:00,16,Historical data not yet verfied
1967-03-11T00:00:00.000+02:00,3.4,Historical data not yet verfied
1967-03-09T00:00:00.000+02:00,9.3,Historical data not yet verfied
1967-03-01T00:00:00.000+02:00,5,Historical data not yet verfied
1967-02-14T00:00:00.000+02:00,0.6,Historical data not yet verfied
1967-01-23T00:00:00.000+02:00,1.9,Historical data not yet verfied
1967-01-22T00:00:00.000+02:00,5.2,Historical data not yet verfied
1967-01-21T00:00:00.000+02:00,0,Historical data not yet verfied
1967-01-20T00:00:00.000+02:00,28.6,Historical data not yet verfied
1967-01-07T00:00:00.000+02:00,13.7,Historical data not yet verfied
1966-12-25T00:00:00.000+02:00,11.5,Historical data not yet verfied
1966-12-24T00:00:00.000+02:00,7,Historical data not yet verfied
1966-12-23T00:00:00.000+02:00,17.7,Historical data not yet verfied
1966-12-22T00:00:00.000+02:00,0.6,Historical data not yet verfied
1966-12-05T00:00:00.000+02:00,0.9,Historical data not yet verfied
1966-11-30T00:00:00.000+02:00,0.3,Historical data not yet verfied
1966-11-21T00:00:00.000+02:00,0.4,Historical data not yet verfied
1966-11-20T00:00:00.000+02:00,4.7,Historical data not yet verfied
1966-11-19T00:00:00.000+02:00,1,Historical data not yet verfied
1966-11-17T00:00:00.000+02:00,30.2,Historical data not yet verfied
1966-11-13T00:00:00.000+02:00,9.2,Historical data not yet verfied
1966-11-01T00:00:00.000+02:00,6.2,Historical data not yet verfied
1966-10-26T00:00:00.000+02:00,1.1,Historical data not yet verfied
1966-10-20T00:00:00.000+02:00,9,Historical data not yet verfied
1966-10-11T00:00:00.000+02:00,0,Historical data not yet verfied
1966-10-10T00:00:00.000+02:00,4.3,Historical data not yet verfied
1966-10-09T00:00:00.000+02:00,2.3,Historical data not yet verfied
1966-10-04T00:00:00.000+02:00,1,Historical data not yet verfied
1966-09-26T00:00:00.000+02:00,9.7,Historical data not yet verfied
1966-09-25T00:00:00.000+02:00,6.1,Historical data not yet verfied
1966-09-24T00:00:00.000+02:00,18.3,Historical data not yet verfied
1966-09-22T00:00:00.000+02:00,25,Historical data not yet verfied
1966-09-21T00:00:00.000+02:00,6,Historical data not yet verfied
1966-09-20T00:00:00.000+02:00,4.1,Historical data not yet verfied
