Watershed #,Watershed name,Area(km2),Pa(mm),Forest type,Hydrological regime,DeltaF_perc,DeltaQf_perc,Precipitation data type,Assessment technique,Source of info,E0,Latitude,Longitude,Length of study (years),From,To,Location Details,"Completed 1, Incomplete 0",Possible duplicate,Notes
165,Grevillea,0.925,906,BF,RD,-95,350,OB,PWE,"Webb and Jarrett,2013",1287,-37.33,149.58,31,1979,2011,AL,1,1,"159, 160, 165, 239, 240 and 268 are all Yambulla state forest. The location details refer to the overall location not the individual catchments"
275,"Three Bar, Artz, USA, B",0.19,582,BF,RD,-100,272.7,OB,PWE,"Ingebo,1974; Hibbert et al,1975",2254,33.82856136,-111.1483972,10,1955,1971,GM,0,,Ingebo 1974 mentioned watersedh B from Natural Draiganes as control.
298,Wights,0.94,1200,BF,RD,-100,271.6,OB,PWE,"Williamson et al., 1987",1751,-33.421,115.989,24,1901,1983,AL,1,,in later paper Ruprecht and Schofield (1991a). Zhao et al (2010) finds much lower deltaQ in %: 70% using EA. Data added based on  Zhao et al. 2010. Time period found in Willamson 1987 (EN)
168,HF1,0.12,1220,BF,RD,-92,240,OB,PWE,"Boggs et al.,2015",1393,36.199169,-78.892208,7,2007,2013,GM,1,,coordinates addedfrom GM. They are not in tha paper and could not find them anywhere
276,"Three Bar, Artz, USA, C",0.39,638,BF,RD,-100,227.6,OB,PWE,"Hibbert ,1971,1979; Hibbert and Ingebo,1971;",2254,33.82856136,-111.1483972,10,1955,1971,GM,0,,
277,"Three Bar, Artz, USA, F",0.28,681,BF,RD,-100,225,OB,PWE,"Hibbert,1967,1969,1971,1979; Hibbert et al., 1975",2254,33.82856136,-111.1483972,8,1969,1977,GM,0,,Time study from Bosch and Hawlett 1982. Paper from them sayas 80% increase in runoff after 8 yrs treatment. In Hibbert 1971 says Watershed F was not treated until 1969 and was not included in that study
67,April Rd.,2.48,1070,BF,RD,-100,167.7,OB,PWE,"Ruprecht and Schofield, 1989",1967,-33.32047,115.788243,3,1982,1985,AL,1,,"This is Ruprecht and Schofield (1989). Paper says ""clearfelling"" so -100 rather than +100"
75,"Beaver  Creek,  AZ  #3-1",1.46,451,CF,SD,-83,166.7,OB,PWE,"Bosch and Hewlett, 1982",510,35.139167,77.530278,5,1963,1968,GM,1,,"not in the Hibbert reference  from Bosch and Hewlett (1982) exp number 73. Treatmment : 1968, 83% overstorey killed with herbicides
Location as USGS 350821077314903 JO-047 BEAVER CREEK RS 3
Found in Brown 1917 https://cedb.asce.org/CEDBsearch/record.jsp?dockey=0018342. Time of the study was assumed from Bosch and Hawlett 1982"
76,"Beaver  Creek,  AZ  #3-2",1.47,426,CF,SD,-78,157,OB,PWE,"Baker,1984 and  1986 ",2252,34.672598,-111.667858,11,1958,1969,GM,1,,"%Q says -157%, cound not find 599.1. Was found in Stednick et al 1996.  https://doi.org/10.1029/WR022i001p00067 and https://doi.org/10.1029/WR020i011p01639 Correct citation missing Baker, Jr., M.B., 1984. Changes in streamflow in an herbicide treated pinyon-juniper watershed in Arizona.
Water Resour. Res., 20: 1639-1642.
Baker, Jr., M.B., 1986. Effects of ponderosa pine treatments on water yield in Arizona. Water Resour. Res.,
22: 67-73."
160,Germans,2.251,906,BF,RD,-80,148.7,OB,PWE,"Webb and Jarrett,2013",1287,-37.33,149.58,29,1979,2008,AL,1,1,"159, 160, 165, 239, 240 and 268 are all Yambulla state forest. The location details refer to the overall location not the individual catchments"
