Watershed #,Watershed name,Area(km2),Pa(mm),Forest type,Hydrological regime,DeltaF_perc,DeltaQf_perc,Precipitation data type,Assessment technique,Source of info,E0,Latitude,Longitude,Length of study (years),notes,From,To,"Location Details AL=aprox location given by author, PL=point location given by author, GM= coordinates guessed from google maps, USGS = USGS location data"
1,Amazon,3702481,2000,BF,RD,-7,2,OB,PWE,"Roche, 1981",1620,-14.9177,-51.1497,2,"Aproximate loction defined by Roche's map in Amazon Region in French Guyana. Is is Amazon region? WV: This is not for the whole Amazon, but just for some small paired watershed studies in French Guyana, it is also unclear how they defined the change in forest and change in flow. Data should be removed from the analysis.
",1976,1978,AL 
2,Araguaia River ,82632,1730,MF,RD,-27,16.5,SG,HM,"Coe et al., 2011",1597,-11.8601,-50.7201,20,Did not find forest variation reported value,1970,1990,
3,Baker Creek,1570,542,CF,SD,-42.2,201.2,SG,SH,"Zhang and Wei, 2012",872,32,103,26,Did not find reported values,1970,1996,AL 
4,Be River catchment,7500,2400,BF,RD,-16.3,0.4,SG,HM,"Nguyen Khoi and Suetsugi,2014",1742,11.0028,106.01,19,"Calibration (1981–1990),Validation (1991–2000)",1981,2000,AL
5,Bowron  River,3500,920,CF,SD,-27,0,OB,SH,"Wei and Davidson,1998",870,53.6754,-121.7472,5,Data from plot 2,1950,1955,AL
6,Chaohe,4854,500,BF,RD,13.9,-21.9,OB,"EA, HM","Wang et al., 2013",1237,42,116,44,,1963,2007,AL
7,Columbia River ,567000,1200,CF,SD,-21,6.5,SG,HM,"Matheussen et al., 2000",866,53.6766,-121.7838,10,,1969,1979,AL
8,Comet river,16440,660,BF,RD,-44.8,40,SG,HM,"Siriwardena et al., 2006",1306,-37.3533,145.1454,30,,1970,2000,AL
9,CSHC,129654,440.7,BF,RD,30,-21.6,OB,EA,"Zhang et al. , 2008a",1481,37.5,110,41,Whole catchment studied in Zhang 2008a (repetitive?),1959,2000,AL
10,Delegate,1135.65,859,MF,RD,16,-12.2,SG,HM,"Tuteja et al. , 2007",1298,-37.0111,146.3876,40,,1960,2000,AL
11,Duqueco,1545,1687,BF,RD,15.9,-19.5,OB,SH,"Iroumé and Palacios,2013",1196,-38,-72,43,,1962,2005,AL
12,Galas,13100,2000,BF,RD,-3,0,OB,SH,"Adnan and Atkinson, 2011",1464,0,102,12,,1988,2000,AL
13,Gushan ,1304,433.1,BF,RD,19,-29,OB,EA,"Zhang et al. , 2008a",1414,38,112,41,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006656,1959,2000,AL
14,Hanjiang,159000,871,MF,RD,17.4,-4.4,OB,HM,"Wang et al., 2012",1213,30.7846,113.8237,11,,1997,2008,GE
15,Huangfu ,3211,393.6,BF,RD,20,-35.8,OB,EA,"Zhang et al. , 2008a",1482,39,111,41,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006657,1959,2000,  
16,Japurá River,217367,2700,BF,RD,-12,0,SG,HM,"Coe et al., 2009",1234,-2.0969,-67.1262,1,in Amazon,2000,2000,GE
17,Jialu ,1279,407.4,BF,RD,23,-33.5,OB,EA,"Zhang et al. , 2008a",1481,37.5,110,43,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006657,1957,2000,AL
