Watershed #,Watershed name,Area(km2),Pa(mm),Forest type,Hydrological regime,DeltaF_perc,DeltaQf_perc,Precipitation data type,Assessment technique,Source of info
62,"Alsea, Oreg , U.S.A,Deer Creek",3.03,2474,CF,SD,-25,7.9,OB,PWE,"Harris , 1973"
63,"Alsea, Oreg , U.S.A,Needle Branch",0.71,2483,CF,SD,-82,32.6,OB,PWE,"Harris , 1977"
64,"Alum Creek, Ark., USA, WS2",0.01,1333,CF,SD,-45,69.9,OB,PWE,"Bosch and  Hewlett, 1982"
65,"Alum Creek, Ark., USA, WS3",0.01,1333,CF,SD,-100,147.7,OB,PWE,"Bosch and  Hewlett, 1982"
66,Anger Gutin settlement,109.5,1305,BF ,RD,-41,9,OB,HM,"Haileyesus et al.,2011"
67,April Rd.,2.48,1070,BF,RD,100,167.7,OB,PWE,"Ruprecht and Schofield,1991"
68,B. Berem 1,0.133,1900,BF,RD,-40,70.2,OB,PWE,"Bruijnzeel,1990"
69,B. Berem. 2,0.308,1900,BF,RD,-33,37,OB,PWE,"Bruijnzeel,1990"
70,B. Kirkton,6.85,2354,BF,RD,-20,10,OB,PWE,"Blackie,1993"
71,B. Monac.,7.7,2770,BF,RD,14,-2,OB,PWE,"Blackie,1993"
72,Barratta,0.364,1705,BF,RD,25,10.8,OB,PWE,"Cornish and Vertessy, 2001"
73,Bauta,43.5,2038,BF,RD,10.2,-14.7,MD,HM,"Beck et al.,2013"
74,"Beaver  Creek,  AZ  #1 ",1.24,457,CF,SD,-100,0,OB,PWE,"Brown,1971"
75,"Beaver  Creek,  AZ  #3-1",1.46,451,CF,SD,-83,166.7,OB,PWE,"Hibbert, 1979 "
76,"Beaver  Creek,  AZ  #3-2",1.47,426,CF,SD,-78,599.1,OB,PWE,"Baker,1984 and  1986 "
77,Biesievlei,0.27,1400,BF,RD,98,-47.4,OB,PWE,"Bosch  and  Hewlett ,1982"
78,Black spur 1,0.17,1652,BF,RD,60,26,OB,PWE,O’Shaughnessy et al. (1979); Watson et al. (2001)
79,Black spur 2,0.77,1612,BF,RD,60,28,OB,PWE,O’Shaughnessy et al. (1979); Watson et al. (2001)
80,Blue  Mts.  OR  #1 ,0.14,1355,CF,SD,-30,0,OB,PWE,"Fowler et al. ,1987"
81,Blue  Mts.  OR  #2,0.14,1355,CF,SD,-50,0,OB,PWE,"Fowler et al. ,1987"
82,Blue  Mts.  OR  #3,0.14,1355,CF,SD,-100,0,OB,PWE,"Fowler et al. ,1987"
83,Bollygum,0.151,1617,BF,RD,32,48.3,OB,PWE,"Cornish and Vertessy, 2001"
84,"Boreal Plain, Alberta",0.524,486,CF,SD,-51,0,OB,PWE,"Devito et al., 2005"
85,Bosbouk.,2.009,1296,BF,RD,80,23.6,OB,PWE,"Scott,1993"
86,C. FM-N,0.03,1410,BF,RD,100,-49.5,OB,PWE,"Robinson et al. ,1991"
87,C. FM-S,0.03,1410,BF,RD,100,-65.1,OB,PWE,"Robinson et al., 1991"
88,Camp Creek,33.9,600,CF,SD,-30,21,OB,PWE,"Cheng, 1989"
89,Canovanas ´,26.5,3422,BF,RD,26.9,-12.8,MD,HM,"Beck et al.,2013"
90,Cantua,119,442,MF,RD,-23,0,OB,PWE,"Bart and Hope,2010"
91,Caramávida,94,1532,BF,RD,18.7,-6.9,OB,SH,"Iroumé and Palacios,2013"
92,"Castle Creek, Ariz U S.A West Fork",3.64,639,CF,SD,-16.6,50.7,OB,PWE,"Rich and Thompson,1974"
93,"Cathedral ,Peak. South Africa CII",1.9,1400,BF,RD,74,-39.5,OB,PWE,"Nänni,1970"
94,"Cathedral ,Peak. South Africa CIII",1.42,1400,BF,RD,84,-2,OB,PWE,"Bosch,1979"
95,"Central New York, U.S.A.: Sage Brook",1.81,974,MF,RD,47,19.8,OB,PWE,"Schneider and Ayer, 1961"
96,Chicken Cr.  UT ,0.06,1900,BF,RD,-100,24.5,OB,PWE,"Johnston ,1984"
97,Cibuco,39.8,1827,BF,RD,31.4,11.1,MD,HM,"Beck et al.,2013"
98,CNBL05,0.553,500,CF,RD,-43.2,35.3,OB,PWE,"Webb, 2009"
99,CNBL07,0.554,500,CF,RD,-40.3,82.7,OB,PWE,"Webb et al., 2007"
100,Coachwood,0.375,1549,BF,RD,61,33.1,OB,PWE,"Cornish,1993"
101,Coalburn,1.5,1266,CF,RD,90,20.3,OB,PWE,"Robinson ,1993"
102,Cold Spring Brook,3.91,1030,BF,RD,35,27.9,OB,PWE,"Bosch  and  Hewlett ,1982"
