Watershed #,Watershed name,Area_km2,Pa_mm,Forest_type,Hydrological_regime,DeltaF_perc,DeltaQf_perc,Precip_data_type,Assessment_technique,Source of info,E0,Latitude,Longitude,Length of study (years),From,To,Location Details*,"Completed 1, Incomplete 0",Possible duplicate,Notes,Location Details,dataset,Dryness
2,Araguaia River,82632,1730,MF,RD,-27,16.5,SG,HM,"Coe et al., 2011",1597,-11.86,-50.72,20,1970,1990,AL,1,0,Did not find forest variation reported value,NA,original Zhang et al data,0.923121387283237
3,Baker Creek,1570,542,CF,SD,-42.2,47.6,SG,SH,"Zhang and Wei, 2012",872,32,103,26,1970,1996,AL,1,0,"Did not find reported values, original value of flow change is incorrect: Original paper says on page 2031: Annual mean flow has been increased by 47.6 % corrected 201.1 to 47.6",NA,original Zhang et al data,1.6088560885608856
4,Be River catchment,7500,2400,BF,RD,-16.3,0.4,SG,HM,"Nguyen Khoi and Suetsugi,2014",1742,11,106.01,19,1981,2000,AL,1,0,"Calibration (1981�1990),Validation (1991�2000)",NA,original Zhang et al data,0.7258333333333333
5,Bowron  River,3500,920,CF,SD,-27,0,OB,SH,"Wei and Davidson,1998",870,53.68,-121.75,5,1950,1955,AL,1,0,Data from plot 2,NA,original Zhang et al data,0.9456521739130435
6,Chaohe,4854,500,BF,RD,13.9,-21.9,OB,"EA, HM","Wang et al., 2013",1237,42,116,44,1963,2007,AL,1,0,NA,NA,original Zhang et al data,2.474
7,Columbia River,567000,1200,CF,SD,-21,6.5,SG,HM,"Matheussen et al., 2000",866,53.68,-121.78,10,1969,1979,AL,1,0,NA,NA,original Zhang et al data,0.7216666666666667
8,Comet river,16440,660,BF,RD,-44.8,40,SG,HM,"Siriwardena et al., 2006",1306,-37.35,145.15,30,1970,2000,AL,1,0,NA,NA,original Zhang et al data,1.9787878787878788
9,CSHC,129654,440.7,BF,RD,30,-21.6,OB,EA,"Zhang et al. , 2008a",1481,37.5,110,41,1959,2000,AL,1,0,Whole catchment studied in Zhang 2008a (repetitive?),NA,original Zhang et al data,3.3605627410937147
10,Delegate,1135.65,859,MF,RD,16,-12.2,SG,HM,"Tuteja et al. , 2007",1298,-37.01,146.39,40,1960,2000,AL,1,0,NA,NA,original Zhang et al data,1.5110593713620488
11,Duqueco,1545,1687,BF,RD,15.9,-19.5,OB,SH,"Iroum� and Palacios,2013",1196,-38,-72,43,1962,2005,AL,1,0,NA,NA,original Zhang et al data,0.7089508002371073
12,Galas,13100,2000,BF,RD,-3,0,OB,SH,"Adnan and Atkinson, 2011",1464,0,102,12,1988,2000,AL,1,0,NA,NA,original Zhang et al data,0.732
13,Gushan,1304,433.1,BF,RD,19,-29,OB,EA,"Zhang et al. , 2008a",1414,38,112,41,1959,2000,AL,1,0,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006656,NA,original Zhang et al data,3.26483491110598
14,Hanjiang,159000,871,MF,RD,17.4,-4.4,OB,HM,"Wang et al., 2012",1213,30.78,113.82,11,1997,2008,GE,1,0,NA,NA,original Zhang et al data,1.3926521239954075
15,Huangfu,3211,393.6,BF,RD,20,-35.8,OB,EA,"Zhang et al. , 2008a",1482,39,111,41,1959,2000,NA,1,0,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006657,NA,original Zhang et al data,3.7652439024390243
16,Japur� River,217367,2700,BF,RD,-12,0,SG,HM,"Coe et al., 2009",1234,-2.1,-67.13,1,2000,2000,GE,1,0,in Amazon,NA,original Zhang et al data,0.457037037037037
17,Jialu,1279,407.4,BF,RD,23,-33.5,OB,EA,"Zhang et al. , 2008a",1481,37.5,110,43,1957,2000,AL,1,0,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006657,NA,original Zhang et al data,3.6352479135984295
18,Juru� River,156376,2300,BF,RD,-1,0,SG,HM,"Lima et al, 2014",1204,-6.57,-69.43,49,1950,1999,AL,1,0,NA,NA,original Zhang et al data,0.5234782608695652
19,Kejie watershed,1755,966,MF,RD,22.4,-3.7,OB,HM,"Ma et al., 2009",1433,25,99.33,32,1974,2006,AL,1,0,NA,NA,original Zhang et al data,1.4834368530020703
20,Kelantan,13100,2000,BF,RD,6,0,OB,SH,"Adnan and Atkinson, 2011",1533,5.01,102,31,1975,2006,PL,1,0,NA,NA,original Zhang et al data,0.7665
21,Kuye,9289,399.9,BF,RD,20,-24,OB,EA,"Zhang et al. , 2008a",1444,40,110,43,1957,2000,AL,1,0,Approximate location from P. Rustomji et al 2008  (Catchment number) https://doi.org/10.1029/2007WR006658,NA,original Zhang et al data,3.6109027256814206
22,"L1, Canada",8940,811,CF,SD,-25.2,0,OB,QPW,"Buttle and Metcalfe, 2000",1156,48.31,74.57,2,1994,1996,PL,1,0,Median location,NA,original Zhang et al data,1.4254007398273736
23,"L2, Canada",6760,807,CF,SD,-12.4,0,OB,QPW,"Buttle and Metcalfe, 2000",1469,48.71,64.45,1,1995,1996,PL,1,0,Median location,NA,original Zhang et al data,1.8203221809169765
24,"L3, Canada",11900,802,CF,SD,-10.8,0,OB,QPW,"Buttle and Metcalfe, 2000",726,48.71,-75,1,1996,1996,PL,1,0,Median location,NA,original Zhang et al data,0.9052369077306733
25,"L4, Canada",10000,813,CF,SD,-8.6,0,OB,QPW,"Buttle and Metcalfe, 2000",1078,48.82,74.86,1,1996,1997,PL,1,0,Median location,NA,original Zhang et al data,1.3259532595325954
26,Lachlan River,8000,767,MF,RD,2.8,-2.8,NA,HM,"van Dijk et al., 2007",1987,-33.24,146.42,10,1988,1998,GE,1,0,NA,NA,original Zhang et al data,2.590612777053455
27,"M1, Canada",1140,844,CF,SD,-18.9,0,OB,QPW,"Buttle and Metcalfe, 2000",1367,48.05,47.95,2,1996,1998,PL,1,0,Median location,NA,original Zhang et al data,1.6196682464454977
28,Macquarie River,1400,764,MF,RD,2.6,-2.7,NA,HM,"van Dijk et al., 2007",2021,-31.6,147.79,11,1988,1999,GE,1,0,NA,NA,original Zhang et al data,2.6452879581151834
29,Madeira River,906552,2000,BF,RD,-13,7,SG,HM,"Lima et al, 2014",1247,-6.84,-62.31,50,1950,2000,AL,1,0,NA,NA,original Zhang et al data,0.6235
30,Meijiang-D,6983,1739,MF,RD,-11,13,MD,SH,"Liu et al.,2015",1277,26.5,116,16,1968,1984,AL,1,0,NA,NA,original Zhang et al data,0.7343300747556066
31,Meijiang-R,6983,1739,MF,RD,46,-6,MD,SH,"Liu et al.,2015",1277,26.5,116,21,1985,2006,AL,1,0,NA,NA,original Zhang et al data,0.7343300747556066
